Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,North Hertfordshire 001B,SG85EF,SG85
England,North Hertfordshire 001A,SG85GL,SG85
England,North Hertfordshire 002C,SG85EN,SG85
England,North Hertfordshire 001A,SG85AZ,SG85
England,North Hertfordshire 002C,SG85BZ,SG85
England,South Cambridgeshire 013D,SG85QS,SG85
England,South Cambridgeshire 019B,SG85JY,SG85
England,South Cambridgeshire 019B,SG85PB,SG85
England,South Cambridgeshire 013D,SG85RB,SG85
England,South Cambridgeshire 019B,SG85LT,SG85
England,North Hertfordshire 001A,SG85AA,SG85
England,South Cambridgeshire 013D,SG85QF,SG85
England,North Hertfordshire 002C,SG85AQ,SG85
England,North Hertfordshire 002C,SG85HL,SG85
England,South Cambridgeshire 019C,SG85PG,SG85
England,South Cambridgeshire 019C,SG85NT,SG85
England,South Cambridgeshire 018F,SG85RN,SG85
England,South Cambridgeshire 013D,SG85QT,SG85
England,North Hertfordshire 001C,SG85UT,SG85
England,South Cambridgeshire 019C,SG85NU,SG85
England,North Hertfordshire 002C,SG85BA,SG85
England,South Cambridgeshire 019B,SG85NZ,SG85
England,North Hertfordshire 001C,SG85SS,SG85
England,North Hertfordshire 001B,SG85AT,SG85
England,North Hertfordshire 002B,SG85DH,SG85
England,South Cambridgeshire 019C,SG85NY,SG85
England,North Hertfordshire 001B,SG85DW,SG85
England,North Hertfordshire 001B,SG85EG,SG85
England,South Cambridgeshire 013D,SG85QB,SG85
England,South Cambridgeshire 019C,SG85PQ,SG85
England,South Cambridgeshire 019C,SG85NE,SG85
England,North Hertfordshire 001B,SG85LZ,SG85
England,South Cambridgeshire 019C,SG85NF,SG85
England,South Cambridgeshire 019A,SG85LL,SG85
England,North Hertfordshire 001B,SG85AR,SG85
England,North Hertfordshire 001A,SG85DX,SG85
England,South Cambridgeshire 013D,SG85QD,SG85
England,North Hertfordshire 002B,SG85BT,SG85
England,South Cambridgeshire 019B,SG85XP,SG85
England,South Cambridgeshire 019C,SG85XW,SG85
England,South Cambridgeshire 013D,SG85QQ,SG85
England,North Hertfordshire 001B,SG85AS,SG85
England,South Cambridgeshire 010E,SG85RD,SG85
England,South Cambridgeshire 019B,SG85JA,SG85
England,South Cambridgeshire 019B,SG85LS,SG85
England,North Hertfordshire 002B,SG85BN,SG85
England,North Hertfordshire 002C,SG85AD,SG85
England,South Cambridgeshire 013D,SG85QZ,SG85
England,South Cambridgeshire 019B,SG85JX,SG85
England,South Cambridgeshire 019B,SG85HY,SG85
England,North Hertfordshire 001A,SG85FD,SG85
England,South Cambridgeshire 019A,SG85FQ,SG85
England,North Hertfordshire 002B,SG85HW,SG85
England,North Hertfordshire 002C,SG85EU,SG85
England,South Cambridgeshire 019C,SG85PP,SG85
England,South Cambridgeshire 019C,SG85PD,SG85
England,South Cambridgeshire 019B,SG85PN,SG85
England,North Hertfordshire 002B,SG85BP,SG85
England,South Cambridgeshire 013D,SG85QG,SG85
England,South Cambridgeshire 019B,SG85LE,SG85
England,South Cambridgeshire 019C,SG85NS,SG85
England,North Hertfordshire 001C,SG85ST,SG85
England,North Hertfordshire 002C,SG85XG,SG85
England,South Cambridgeshire 019A,SG85RY,SG85
England,South Cambridgeshire 019C,SG85HT,SG85
England,South Cambridgeshire 019B,SG85JF,SG85
England,North Hertfordshire 002C,SG85FH,SG85
England,North Hertfordshire 001B,SG85DN,SG85
England,South Cambridgeshire 019B,SG85HS,SG85
England,South Cambridgeshire 019B,SG85HR,SG85
England,South Cambridgeshire 019C,SG85NW,SG85
England,South Cambridgeshire 018F,SG85RL,SG85
England,North Hertfordshire 001A,SG85EJ,SG85
England,South Cambridgeshire 019A,SG85JS,SG85
England,North Hertfordshire 001C,SG85FW,SG85
England,North Hertfordshire 002B,SG85JZ,SG85
England,South Cambridgeshire 019A,SG85SA,SG85
England,North Hertfordshire 002C,SG85DG,SG85
England,South Cambridgeshire 019A,SG85LA,SG85
England,South Cambridgeshire 019B,SG85JN,SG85
England,North Hertfordshire 001B,SG85DJ,SG85
England,South Cambridgeshire 019B,SG85PR,SG85
England,North Hertfordshire 001C,SG85SF,SG85
England,South Cambridgeshire 019A,SG85SR,SG85
England,South Cambridgeshire 019C,SG85PH,SG85
England,North Hertfordshire 002C,SG85HQ,SG85
England,North Hertfordshire 001C,SG85UR,SG85
England,North Hertfordshire 002C,SG85LY,SG85
England,North Hertfordshire 002C,SG85HG,SG85
England,North Hertfordshire 002C,SG85EW,SG85
England,South Cambridgeshire 013D,SG85QP,SG85
England,North Hertfordshire 002C,SG85ZS,SG85
England,North Hertfordshire 002C,SG85ET,SG85
England,North Hertfordshire 002C,SG85WY,SG85
England,North Hertfordshire 002C,SG85AN,SG85
England,North Hertfordshire 002B,SG85BX,SG85
England,South Cambridgeshire 019C,SG85NP,SG85
England,North Hertfordshire 002B,SG85BG,SG85
England,South Cambridgeshire 013D,SG85QE,SG85
England,North Hertfordshire 001B,SG85WA,SG85
England,North Hertfordshire 002B,SG85FF,SG85
England,South Cambridgeshire 013D,SG85QX,SG85
England,South Cambridgeshire 019C,SG85NQ,SG85
England,South Cambridgeshire 013D,SG85TH,SG85
England,North Hertfordshire 001C,SG85US,SG85
England,North Hertfordshire 002C,SG85HE,SG85
England,North Hertfordshire 002C,SG85AJ,SG85
England,South Cambridgeshire 013D,SG85QW,SG85
England,North Hertfordshire 002B,SG85BU,SG85
England,South Cambridgeshire 019B,SG85UL,SG85
England,North Hertfordshire 001C,SG85TF,SG85
England,South Cambridgeshire 013D,SG85TQ,SG85
England,North Hertfordshire 002C,SG85DQ,SG85
England,North Hertfordshire 001C,SG85UP,SG85
England,South Cambridgeshire 019A,SG85JJ,SG85
England,South Cambridgeshire 019A,SG85JU,SG85
England,South Cambridgeshire 019A,SG85JR,SG85
England,North Hertfordshire 002C,SG85HB,SG85
England,North Hertfordshire 001C,SG85TE,SG85
England,South Cambridgeshire 019A,SG85JP,SG85
England,South Cambridgeshire 019A,SG85RS,SG85
England,South Cambridgeshire 019B,SG85LQ,SG85
England,North Hertfordshire 002B,SG85BW,SG85
England,South Cambridgeshire 019A,SG85RP,SG85
England,South Cambridgeshire 013D,SG85QL,SG85
England,South Cambridgeshire 019A,SG85RU,SG85
England,South Cambridgeshire 019A,SG85SD,SG85
England,South Cambridgeshire 019B,SG85ND,SG85
England,North Hertfordshire 001C,SG85UU,SG85
England,North Hertfordshire 002C,SG85DZ,SG85
England,South Cambridgeshire 019C,SG85NR,SG85
England,North Hertfordshire 001A,SG85AH,SG85
England,North Hertfordshire 002B,SG85TT,SG85
England,South Cambridgeshire 019A,SG85SG,SG85
England,North Hertfordshire 002C,SG85HJ,SG85
England,North Hertfordshire 001B,SG85PT,SG85
England,South Cambridgeshire 019B,SG85LU,SG85
England,North Hertfordshire 002C,SG85AY,SG85
England,South Cambridgeshire 019C,SG85NG,SG85
England,South Cambridgeshire 019A,SG85RR,SG85
England,South Cambridgeshire 019B,SG85JG,SG85
England,North Hertfordshire 002B,SG85BS,SG85
England,South Cambridgeshire 019B,SG85JB,SG85
England,North Hertfordshire 001C,SG85TA,SG85
England,South Cambridgeshire 013D,SG85QR,SG85
England,North Hertfordshire 001B,SG85AP,SG85
England,South Cambridgeshire 019C,SG85PL,SG85
England,North Hertfordshire 002C,SG85AX,SG85
England,North Hertfordshire 001B,SG85PY,SG85
England,South Cambridgeshire 019B,SG85FJ,SG85
England,South Cambridgeshire 019C,SG85YR,SG85
England,South Cambridgeshire 019A,SG85LP,SG85
England,North Hertfordshire 002B,SG85TW,SG85
England,North Hertfordshire 002C,SG85FG,SG85
England,South Cambridgeshire 019B,SG85FL,SG85
England,North Hertfordshire 001C,SG85UX,SG85
England,North Hertfordshire 002B,SG85BY,SG85
England,North Hertfordshire 002C,SG85DE,SG85
England,North Hertfordshire 002C,SG85AB,SG85
England,South Cambridgeshire 013D,SG85RA,SG85
England,South Cambridgeshire 019B,SG85JE,SG85
England,North Hertfordshire 001B,SG85EQ,SG85
England,North Hertfordshire 001B,SG85DL,SG85
England,South Cambridgeshire 013D,SG85QA,SG85
England,South Cambridgeshire 019C,SG85PE,SG85
England,North Hertfordshire 001C,SG85FU,SG85
England,North Hertfordshire 001B,SG85PX,SG85
England,North Hertfordshire 001A,SG85EB,SG85
England,South Cambridgeshire 019A,SG85LH,SG85
England,North Hertfordshire 002B,SG85BD,SG85
England,South Cambridgeshire 013D,SG85QY,SG85
England,North Hertfordshire 001A,SG85DD,SG85
England,North Hertfordshire 002B,SG85FP,SG85
England,South Cambridgeshire 013D,SG85QJ,SG85
England,South Cambridgeshire 013D,SG85QN,SG85
England,North Hertfordshire 002C,SG85HA,SG85
England,North Hertfordshire 002B,SG85BL,SG85
England,North Hertfordshire 001B,SG85EE,SG85
England,South Cambridgeshire 019C,SG85NL,SG85
England,North Hertfordshire 001A,SG85FB,SG85
England,North Hertfordshire 002C,SG85AG,SG85
England,North Hertfordshire 001C,SG85SZ,SG85
England,South Cambridgeshire 019A,SG85RX,SG85
England,North Hertfordshire 002C,SG85DR,SG85
England,North Hertfordshire 002B,SG85HN,SG85
England,North Hertfordshire 002B,SG85BE,SG85
England,South Cambridgeshire 013D,SG85UN,SG85
England,North Hertfordshire 002C,SG85UA,SG85
England,North Hertfordshire 002B,SG85BB,SG85
England,South Cambridgeshire 019A,SG85JT,SG85
England,South Cambridgeshire 019A,SG85JH,SG85
England,South Cambridgeshire 019B,SG85PS,SG85
England,North Hertfordshire 002C,SG85HD,SG85
England,South Cambridgeshire 019B,SG85JD,SG85
England,South Cambridgeshire 019A,SG85LJ,SG85
England,North Hertfordshire 002C,SG85DA,SG85
England,South Cambridgeshire 019C,SG85NX,SG85
England,South Cambridgeshire 019C,SG85PJ,SG85
England,North Hertfordshire 002B,SG85BJ,SG85
England,North Hertfordshire 001B,SG85DP,SG85
England,North Hertfordshire 002C,SG85DT,SG85
England,South Cambridgeshire 019C,SG85NA,SG85
England,North Hertfordshire 002C,SG85EZ,SG85
England,South Cambridgeshire 019B,SG85HZ,SG85
England,South Cambridgeshire 019B,SG85UJ,SG85
England,South Cambridgeshire 019C,SG85NH,SG85
England,South Cambridgeshire 019B,SG85HX,SG85
England,North Hertfordshire 002C,SG85YY,SG85
England,North Hertfordshire 002B,SG85BQ,SG85
England,North Hertfordshire 002B,SG85BH,SG85
England,North Hertfordshire 001C,SG85SU,SG85
England,South Cambridgeshire 019A,SG85SQ,SG85
