Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Tameside 007C,SK151QL,SK15
England,Tameside 015E,SK152TS,SK15
England,Tameside 016C,SK151US,SK15
England,Tameside 008A,SK151AN,SK15
England,Tameside 003B,SK153LW,SK15
England,Tameside 008A,SK152AW,SK15
England,Tameside 003B,SK153RN,SK15
England,Tameside 003C,SK153SE,SK15
England,Tameside 009C,SK152PB,SK15
England,Tameside 003C,SK153LT,SK15
England,Tameside 008D,SK151NB,SK15
England,Tameside 015A,SK152JY,SK15
England,Tameside 015E,SK152SU,SK15
England,Tameside 015B,SK151TN,SK15
England,Tameside 008D,SK151BZ,SK15
England,Tameside 009D,SK153HG,SK15
England,Tameside 008B,SK151FD,SK15
England,Tameside 003B,SK153LB,SK15
England,Tameside 003B,SK153JY,SK15
England,Tameside 015C,SK152RB,SK15
England,Tameside 009D,SK153EX,SK15
England,Tameside 009A,SK153HP,SK15
England,Tameside 015A,SK151WB,SK15
England,Tameside 009B,SK152QA,SK15
England,Tameside 015E,SK152TA,SK15
England,Tameside 008A,SK151BS,SK15
England,Tameside 003B,SK153LD,SK15
England,Tameside 015A,SK152EX,SK15
England,Tameside 008D,SK151DF,SK15
England,Tameside 009A,SK153DE,SK15
England,Tameside 015A,SK152WQ,SK15
England,Tameside 015A,SK151AR,SK15
England,Tameside 008A,SK151JP,SK15
England,Tameside 008A,SK151JX,SK15
England,Tameside 015C,SK152NW,SK15
England,Tameside 015B,SK151PF,SK15
England,Tameside 008A,SK151AD,SK15
England,Tameside 016B,SK152HE,SK15
England,Tameside 003B,SK153JL,SK15
England,Tameside 015A,SK151RZ,SK15
England,Tameside 003D,SK153DF,SK15
England,Tameside 008D,SK151LX,SK15
England,Tameside 015D,SK152RY,SK15
England,Tameside 003C,SK153PH,SK15
England,Tameside 015A,SK152EL,SK15
England,Tameside 003B,SK153JU,SK15
England,Tameside 009D,SK153QN,SK15
England,Tameside 003C,SK153NQ,SK15
England,Tameside 015C,SK152NR,SK15
England,Tameside 009B,SK153AU,SK15
England,Tameside 003C,SK153QG,SK15
England,Tameside 009B,SK152NZ,SK15
England,Tameside 009C,SK152QD,SK15
England,Tameside 015D,SK152RL,SK15
England,Tameside 015A,SK152ED,SK15
England,Tameside 015A,SK152PW,SK15
England,Tameside 015C,SK152QU,SK15
England,Tameside 008A,SK152AU,SK15
England,Tameside 015E,SK152ST,SK15
England,Tameside 003B,SK153LE,SK15
England,Tameside 008A,SK151JW,SK15
England,Tameside 008A,SK151LJ,SK15
England,Tameside 016C,SK151UB,SK15
England,Tameside 008A,SK151RQ,SK15
England,Tameside 015D,SK152RU,SK15
England,Tameside 015D,SK152TW,SK15
England,Tameside 015B,SK151SY,SK15
England,Tameside 008B,SK151DZ,SK15
England,Tameside 003B,SK153JT,SK15
England,Tameside 015B,SK151QY,SK15
England,Tameside 008A,SK151JR,SK15
England,Tameside 009C,SK153EG,SK15
England,Tameside 015C,SK152NU,SK15
England,Tameside 008D,SK151NJ,SK15
England,Tameside 009D,SK153ET,SK15
England,Tameside 015E,SK153QU,SK15
England,Tameside 015B,SK151UG,SK15
England,Tameside 009C,SK153EE,SK15
England,Tameside 003B,SK153PS,SK15
England,Tameside 003B,SK153NE,SK15
England,Tameside 003B,SK153SD,SK15
England,Tameside 009C,SK153EQ,SK15
England,Tameside 003B,SK153RP,SK15
England,Tameside 009B,SK152PT,SK15
England,Tameside 008B,SK151ED,SK15
England,Tameside 015C,SK152RF,SK15
England,Tameside 015A,SK152XA,SK15
England,Tameside 008B,SK151JL,SK15
England,Tameside 015A,SK152WB,SK15
England,Tameside 003D,SK153PU,SK15
England,Tameside 015A,SK152WH,SK15
England,Tameside 008B,SK151JD,SK15
England,Tameside 015C,SK152NN,SK15
England,Tameside 008B,SK151JE,SK15
England,Tameside 015D,SK152SH,SK15
England,Tameside 009D,SK153RS,SK15
England,Tameside 003C,SK153LS,SK15
England,Tameside 003B,SK153PL,SK15
England,Tameside 003B,SK153RQ,SK15
England,Tameside 015A,SK152JD,SK15
England,Tameside 003D,SK151HZ,SK15
England,Tameside 015B,SK151QQ,SK15
England,Tameside 015A,SK152DF,SK15
England,Tameside 015B,SK151TG,SK15
England,Tameside 009D,SK153QL,SK15
England,Tameside 015E,SK152TJ,SK15
England,Tameside 009B,SK151JZ,SK15
England,Tameside 009D,SK153QY,SK15
England,Tameside 008C,SK151BW,SK15
England,Tameside 015D,SK152RP,SK15
England,Tameside 009B,SK153DN,SK15
England,Tameside 015B,SK151UQ,SK15
England,Tameside 003D,SK153BT,SK15
England,Tameside 009C,SK152QG,SK15
England,Tameside 009B,SK152PU,SK15
England,Tameside 009D,SK153RL,SK15
England,Tameside 003B,SK153JZ,SK15
England,Tameside 015A,SK152HA,SK15
England,Tameside 015E,SK152TN,SK15
England,Tameside 015E,SK152TX,SK15
England,Tameside 008C,SK151EZ,SK15
England,Tameside 008B,SK151NH,SK15
England,Tameside 009C,SK152QL,SK15
England,Tameside 008B,SK151BF,SK15
England,Tameside 015E,SK152UQ,SK15
England,Tameside 003C,SK153FL,SK15
England,Tameside 015A,SK159AR,SK15
England,Tameside 008D,SK151LZ,SK15
England,Tameside 015D,SK152RT,SK15
England,Tameside 009D,SK153BH,SK15
England,Tameside 009D,SK153RY,SK15
England,Tameside 015A,SK152HB,SK15
England,Tameside 003D,SK153BL,SK15
England,Tameside 008A,SK151DJ,SK15
England,Tameside 015A,SK151RR,SK15
England,Tameside 009A,SK153HW,SK15
England,Tameside 015A,SK152BP,SK15
England,Tameside 015A,SK153YF,SK15
England,Tameside 009C,SK152PD,SK15
England,Tameside 008A,SK151AE,SK15
England,Tameside 009C,SK152PL,SK15
England,Tameside 008A,SK151AB,SK15
England,Tameside 015C,SK152NX,SK15
England,Tameside 003B,SK153QB,SK15
England,Tameside 016C,SK151TZ,SK15
England,Tameside 009D,SK153QW,SK15
England,Tameside 015B,SK151TB,SK15
England,Tameside 003B,SK153LZ,SK15
England,Tameside 009C,SK152PP,SK15
England,Tameside 008A,SK151LQ,SK15
England,Tameside 009D,SK153JJ,SK15
England,Tameside 015B,SK151QF,SK15
England,Tameside 003C,SK153RA,SK15
England,Tameside 015B,SK151SS,SK15
England,Tameside 008A,SK151BX,SK15
England,Tameside 016C,SK152DW,SK15
England,Tameside 003C,SK153LX,SK15
England,Tameside 015A,SK152JQ,SK15
England,Tameside 003C,SK153NT,SK15
England,Tameside 003B,SK153RT,SK15
England,Tameside 015B,SK151UN,SK15
England,Tameside 003B,SK153PP,SK15
England,Tameside 003C,SK153NX,SK15
England,Tameside 009B,SK153AT,SK15
England,Tameside 003B,SK153RX,SK15
England,Tameside 009B,SK152QE,SK15
England,Tameside 009A,SK153DY,SK15
England,Tameside 009B,SK151AW,SK15
England,Tameside 003D,SK151HB,SK15
England,Tameside 016D,SK151TY,SK15
England,Tameside 015D,SK152QW,SK15
England,Tameside 003B,SK153RU,SK15
England,Tameside 003B,SK153QE,SK15
England,Tameside 015B,SK151RD,SK15
England,Tameside 008D,SK151DD,SK15
England,Tameside 008C,SK151EF,SK15
England,Tameside 015B,SK151PZ,SK15
England,Tameside 003D,SK153BN,SK15
England,Tameside 015A,SK153AE,SK15
England,Tameside 015B,SK151QB,SK15
England,Tameside 016B,SK152HD,SK15
England,Tameside 009B,SK153AF,SK15
England,Tameside 008B,SK151DW,SK15
England,Tameside 009D,SK153HA,SK15
England,Tameside 015B,SK151QZ,SK15
England,Tameside 015A,SK152DQ,SK15
England,Tameside 009C,SK153AB,SK15
England,Tameside 016B,SK152HH,SK15
England,Tameside 008D,SK151NQ,SK15
England,Tameside 015E,SK152TL,SK15
England,Tameside 008D,SK151NN,SK15
England,Tameside 009D,SK153HQ,SK15
England,Tameside 003D,SK151HN,SK15
England,Tameside 015B,SK151PT,SK15
England,Tameside 008D,SK151LP,SK15
England,Tameside 003D,SK153BX,SK15
England,Tameside 015C,SK152PQ,SK15
England,Tameside 015B,SK151GA,SK15
England,Tameside 008A,SK152AA,SK15
England,Tameside 015A,SK159AU,SK15
England,Tameside 008B,SK151FE,SK15
England,Tameside 015D,SK152RJ,SK15
England,Tameside 015B,SK151UX,SK15
England,Tameside 003D,SK153PX,SK15
England,Tameside 008C,SK151BN,SK15
England,Tameside 015D,SK152RN,SK15
England,Tameside 015A,SK159AY,SK15
England,Tameside 015B,SK151NX,SK15
England,Tameside 008A,SK152AE,SK15
England,Tameside 015D,SK153QR,SK15
England,Tameside 015B,SK151SD,SK15
England,Tameside 009B,SK152LW,SK15
England,Tameside 009B,SK151AG,SK15
England,Tameside 015E,SK152TB,SK15
England,Tameside 008B,SK151HU,SK15
England,Tameside 003D,SK151HJ,SK15
England,Tameside 015A,SK152LG,SK15
England,Tameside 016D,SK151UP,SK15
England,Tameside 015A,SK152DR,SK15
England,Tameside 008A,SK151LE,SK15
England,Tameside 003C,SK153NL,SK15
