Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Wycombe 023A,SL71HF,SL71
England,Wycombe 022F,SL71AQ,SL71
England,Wycombe 023B,SL71UA,SL71
England,Wycombe 023B,SL71BJ,SL71
England,Wycombe 023A,SL71JW,SL71
England,Windsor and Maidenhead 002B,SL71RU,SL71
England,Wycombe 023D,SL71AJ,SL71
England,Wycombe 023D,SL71US,SL71
England,Wycombe 023A,SL71WE,SL71
England,Wycombe 023A,SL71PD,SL71
England,Wycombe 023B,SL71EN,SL71
England,Wycombe 023C,SL71AL,SL71
England,Wycombe 022E,SL71BE,SL71
England,Wycombe 023C,SL71HW,SL71
England,Wycombe 023A,SL71DZ,SL71
England,Wycombe 023A,SL71EL,SL71
England,Wycombe 023A,SL71XR,SL71
England,Wycombe 023A,SL71EP,SL71
England,Wycombe 023D,SL71JQ,SL71
England,Wycombe 023A,SL71FT,SL71
England,Wycombe 023C,SL71FJ,SL71
England,Wycombe 023A,SL71BX,SL71
England,Wycombe 023A,SL71DP,SL71
England,Wycombe 023A,SL71WN,SL71
England,Wycombe 023C,SL71TD,SL71
England,Windsor and Maidenhead 002B,SL71RY,SL71
England,Wycombe 023C,SL71JY,SL71
England,Wycombe 023A,SL71DN,SL71
England,Wycombe 023D,SL71UR,SL71
England,Wycombe 023D,SL71UH,SL71
England,Wycombe 023A,SL71GR,SL71
England,Wycombe 023A,SL71AU,SL71
England,Wycombe 023B,SL71NH,SL71
England,Wycombe 023A,SL71HD,SL71
England,Wycombe 022A,SL71JF,SL71
England,Wycombe 022A,SL71TU,SL71
England,Wycombe 023B,SL71QT,SL71
England,Wycombe 023D,SL71TF,SL71
England,Windsor and Maidenhead 002B,SL71SJ,SL71
England,Wycombe 023A,SL71DY,SL71
England,Wycombe 023B,SL71NL,SL71
England,Wycombe 023A,SL71AS,SL71
England,Wycombe 023D,SL71TG,SL71
England,Wycombe 023C,SL71LB,SL71
England,Wycombe 023B,SL71BN,SL71
England,Wycombe 022F,SL71AH,SL71
England,Wycombe 023B,SL71NE,SL71
England,Wycombe 023B,SL71NN,SL71
England,Wycombe 023A,SL71DD,SL71
England,Wycombe 023C,SL71LL,SL71
England,Wycombe 023B,SL71QU,SL71
England,Wycombe 023B,SL71QG,SL71
England,Wycombe 023A,SL71FY,SL71
England,Windsor and Maidenhead 002B,SL71SG,SL71
England,Wycombe 023B,SL71QB,SL71
England,Wycombe 023A,SL71XX,SL71
