Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sutton 001B,SM51JW,SM51
England,Sutton 002A,SM51PY,SM51
England,Sutton 002A,SM51QD,SM51
England,Sutton 001B,SM51JN,SM51
England,Sutton 001C,SM51HS,SM51
England,Sutton 002C,SM51QW,SM51
England,Sutton 001B,SM51HW,SM51
England,Sutton 002E,SM51AR,SM51
England,Sutton 001C,SM51DT,SM51
England,Sutton 002E,SM51AW,SM51
England,Sutton 005E,SM51LW,SM51
England,Sutton 001B,SM51JG,SM51
England,Sutton 001E,SM51AL,SM51
England,Sutton 002C,SM51QH,SM51
England,Sutton 001C,SM51DZ,SM51
England,Sutton 005E,SM51LU,SM51
England,Sutton 005E,SM51LJ,SM51
England,Sutton 001A,SM51NR,SM51
England,Sutton 002A,SM51PX,SM51
England,Sutton 002A,SM51BD,SM51
England,Sutton 001C,SM51LY,SM51
England,Sutton 002A,SM51SQ,SM51
England,Sutton 002C,SM51QL,SM51
England,Sutton 001B,SM51JU,SM51
England,Sutton 002C,SM51TE,SM51
England,Sutton 005A,SM51RE,SM51
England,Sutton 001C,SM51ND,SM51
England,Sutton 002C,SM51PW,SM51
England,Sutton 002D,SM51TX,SM51
England,Sutton 002E,SM51BU,SM51
England,Sutton 001E,SM51EL,SM51
England,Sutton 001B,SM51LA,SM51
England,Sutton 017B,SM51DL,SM51
England,Sutton 005E,SM51LR,SM51
England,Sutton 002E,SM51AY,SM51
England,Sutton 001E,SM51EE,SM51
England,Sutton 001E,SM51EH,SM51
England,Sutton 002A,SM51NL,SM51
England,Sutton 005A,SM51TR,SM51
England,Sutton 001B,SM51JL,SM51
England,Sutton 001E,SM51ES,SM51
England,Sutton 002D,SM51UA,SM51
England,Sutton 001E,SM51EQ,SM51
England,Sutton 001C,SM51HZ,SM51
England,Sutton 002A,SM51AD,SM51
England,Sutton 001C,SM51NE,SM51
England,Sutton 002E,SM51BS,SM51
England,Sutton 001C,SM51NA,SM51
England,Sutton 001A,SM51NQ,SM51
England,Sutton 001B,SM51HP,SM51
England,Sutton 002A,SM51PS,SM51
England,Sutton 001C,SM51HT,SM51
England,Sutton 005A,SM51TU,SM51
England,Sutton 002A,SM51AX,SM51
England,Sutton 002A,SM51SU,SM51
England,Sutton 001E,SM51EW,SM51
England,Sutton 002A,SM51QA,SM51
England,Sutton 005E,SM51NU,SM51
England,Sutton 005E,SM51DH,SM51
England,Sutton 001B,SM51LQ,SM51
England,Sutton 002C,SM51QS,SM51
England,Sutton 002E,SM51BT,SM51
England,Sutton 001B,SM51JH,SM51
England,Sutton 001A,SM51SA,SM51
England,Sutton 001A,SM51RR,SM51
England,Sutton 005A,SM51RF,SM51
England,Sutton 002E,SM51BY,SM51
England,Sutton 001A,SM51NP,SM51
England,Sutton 002C,SM51QP,SM51
England,Sutton 001A,SM51PT,SM51
England,Sutton 001E,SM51JP,SM51
England,Sutton 002A,SM51AF,SM51
England,Sutton 001E,SM51EN,SM51
England,Sutton 001C,SM51LT,SM51
England,Sutton 001B,SM51HA,SM51
England,Sutton 002C,SM51QJ,SM51
England,Sutton 005E,SM51NT,SM51
England,Sutton 001C,SM51DP,SM51
England,Sutton 002C,SM51QR,SM51
England,Sutton 001A,SM51RT,SM51
England,Sutton 005A,SM51TZ,SM51
England,Sutton 001B,SM51JQ,SM51
England,Sutton 002A,SM51BJ,SM51
England,Sutton 001A,SM51PN,SM51
England,Sutton 002A,SM51SG,SM51
England,Sutton 001C,SM51NB,SM51
England,Sutton 001C,SM51LX,SM51
England,Sutton 001E,SM51EX,SM51
England,Sutton 002E,SM51AH,SM51
England,Sutton 002A,SM51SW,SM51
England,Sutton 001A,SM51SE,SM51
England,Sutton 005E,SM51PE,SM51
England,Sutton 001C,SM51JD,SM51
England,Sutton 001E,SM51HJ,SM51
England,Sutton 002A,SM51BH,SM51
England,Sutton 002A,SM51SB,SM51
England,Sutton 002C,SM51NH,SM51
England,Sutton 001A,SM51PL,SM51
England,Sutton 001B,SM51LB,SM51
England,Sutton 001C,SM51LZ,SM51
England,Sutton 001C,SM51DF,SM51
England,Sutton 005E,SM51PQ,SM51
England,Sutton 001A,SM51PU,SM51
England,Sutton 002A,SM51SR,SM51
England,Sutton 002C,SM51QF,SM51
England,Sutton 001E,SM51EY,SM51
England,Sutton 002A,SM51PZ,SM51
England,Sutton 002C,SM51QX,SM51
England,Sutton 002C,SM51QN,SM51
England,Sutton 001E,SM51EA,SM51
England,Sutton 002C,SM51TQ,SM51
England,Sutton 005E,SM51NY,SM51
England,Sutton 001B,SM51HH,SM51
England,Sutton 005E,SM51NZ,SM51
England,Sutton 002C,SM51NJ,SM51
England,Sutton 001A,SM51TF,SM51
England,Sutton 001B,SM51HN,SM51
England,Sutton 002A,SM51AU,SM51
England,Sutton 005E,SM51PH,SM51
England,Sutton 001A,SM51SD,SM51
England,Sutton 002A,SM51SL,SM51
England,Sutton 005A,SM51TS,SM51
England,Sutton 002E,SM51BX,SM51
England,Sutton 001C,SM51LF,SM51
England,Sutton 001E,SM51DA,SM51
England,Sutton 005E,SM51PG,SM51
England,Sutton 002A,SM51AG,SM51
England,Sutton 005A,SM51RW,SM51
England,Sutton 001B,SM51LE,SM51
England,Sutton 005E,SM51DN,SM51
England,Sutton 001B,SM51JZ,SM51
England,Sutton 002A,SM51SH,SM51
England,Sutton 001B,SM51LD,SM51
England,Sutton 002E,SM51AP,SM51
England,Sutton 001B,SM51JE,SM51
England,Sutton 005E,SM51DG,SM51
England,Sutton 001A,SM51RU,SM51
England,Sutton 005A,SM51RN,SM51
England,Sutton 001E,SM51JR,SM51
England,Sutton 005E,SM51LN,SM51
England,Sutton 002C,SM51TB,SM51
England,Sutton 002C,SM51QG,SM51
England,Sutton 001E,SM51ER,SM51
England,Sutton 001A,SM51TP,SM51
England,Sutton 001E,SM51BZ,SM51
England,Sutton 001B,SM51HR,SM51
