Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Swindon 024D,SN31PU,SN31
England,Swindon 024C,SN31RG,SN31
England,Swindon 024C,SN31FL,SN31
England,Swindon 024D,SN31NH,SN31
England,Swindon 024C,SN31NS,SN31
England,Swindon 024C,SN31NU,SN31
England,Swindon 024B,SN31SE,SN31
England,Swindon 024A,SN31JS,SN31
England,Swindon 024A,SN31QD,SN31
England,Swindon 024B,SN31PA,SN31
England,Swindon 024A,SN31PX,SN31
England,Swindon 024C,SN31FN,SN31
England,Swindon 024D,SN31FE,SN31
England,Swindon 020E,SN31AY,SN31
England,Swindon 017D,SN31DD,SN31
England,Swindon 024D,SN31PJ,SN31
England,Swindon 023B,SN31XR,SN31
England,Swindon 023B,SN31TY,SN31
England,Swindon 024C,SN31RE,SN31
England,Swindon 024B,SN31RZ,SN31
England,Swindon 024C,SN31HU,SN31
England,Swindon 024C,SN31LU,SN31
England,Swindon 023B,SN31TP,SN31
England,Swindon 017C,SN31BU,SN31
England,Swindon 017D,SN31DB,SN31
England,Swindon 024C,SN31FG,SN31
England,Swindon 023B,SN31TS,SN31
England,Swindon 024C,SN31SA,SN31
England,Swindon 024A,SN31PZ,SN31
England,Swindon 017D,SN31DN,SN31
England,Swindon 024B,SN31HA,SN31
England,Swindon 024C,SN31AZ,SN31
England,Swindon 017C,SN31AQ,SN31
England,Swindon 024A,SN31LF,SN31
England,Swindon 024D,SN31TX,SN31
England,Swindon 017C,SN31AN,SN31
England,Swindon 024B,SN31EF,SN31
England,Swindon 024A,SN31JT,SN31
England,Swindon 017D,SN31BA,SN31
England,Swindon 024A,SN31LG,SN31
England,Swindon 017D,SN31DT,SN31
England,Swindon 017D,SN31ER,SN31
England,Swindon 024C,SN31FP,SN31
England,Swindon 024B,SN31PH,SN31
England,Swindon 017C,SN31DE,SN31
England,Swindon 017D,SN31EH,SN31
England,Swindon 024A,SN31QA,SN31
England,Swindon 017D,SN31DL,SN31
England,Swindon 017C,SN31BF,SN31
England,Swindon 024D,SN31SH,SN31
England,Swindon 017D,SN31EP,SN31
England,Swindon 023B,SN31UW,SN31
England,Swindon 017D,SN31DH,SN31
England,Swindon 024C,SN31HX,SN31
England,Swindon 017D,SN31EL,SN31
England,Swindon 024C,SN31HR,SN31
England,Swindon 023B,SN31RL,SN31
England,Swindon 024A,SN31HD,SN31
England,Swindon 016C,SN31AH,SN31
England,Swindon 020C,SN31AU,SN31
England,Swindon 017C,SN31BS,SN31
England,Swindon 017D,SN31DR,SN31
England,Swindon 024B,SN31RN,SN31
England,Swindon 017C,SN31AG,SN31
England,Swindon 024B,SN31SD,SN31
England,Swindon 024A,SN31LQ,SN31
England,Swindon 024C,SN31PG,SN31
England,Swindon 024A,SN31EU,SN31
England,Swindon 017C,SN31BG,SN31
England,Swindon 024D,SN31RP,SN31
England,Swindon 023B,SN31JJ,SN31
England,Swindon 024A,SN31LL,SN31
England,Swindon 024B,SN31EB,SN31
England,Swindon 024A,SN31LN,SN31
England,Swindon 024B,SN31ES,SN31
England,Swindon 024A,SN31JY,SN31
England,Swindon 024B,SN31EY,SN31
England,Swindon 024C,SN31HS,SN31
England,Swindon 024C,SN31HP,SN31
England,Swindon 024A,SN31LD,SN31
England,Swindon 017A,SN31AR,SN31
England,Swindon 017C,SN31AW,SN31
England,Swindon 024A,SN31LA,SN31
England,Swindon 023B,SN31TH,SN31
England,Swindon 017C,SN31AF,SN31
England,Swindon 017C,SN31BZ,SN31
England,Swindon 025A,SN31NA,SN31
England,Swindon 024B,SN31QN,SN31
England,Swindon 017C,SN31BQ,SN31
England,Swindon 017C,SN31BW,SN31
England,Swindon 024B,SN31HF,SN31
England,Swindon 024A,SN31JZ,SN31
England,Swindon 024B,SN31HE,SN31
England,Swindon 024A,SN31QQ,SN31
England,Swindon 017D,SN31EG,SN31
England,Swindon 023B,SN31UQ,SN31
England,Swindon 024A,SN31JQ,SN31
England,Swindon 024D,SN31RA,SN31
England,Swindon 024C,SN31NW,SN31
England,Swindon 023B,SN31WD,SN31
England,Swindon 017D,SN31DS,SN31
England,Swindon 017C,SN31AE,SN31
England,Swindon 024B,SN31QL,SN31
England,Swindon 024D,SN31HW,SN31
England,Swindon 023B,SN31UJ,SN31
England,Swindon 024C,SN31NX,SN31
England,Swindon 017C,SN31AB,SN31
England,Swindon 024C,SN31JA,SN31
England,Swindon 024A,SN31LB,SN31
England,Swindon 024C,SN31HY,SN31
