Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Test Valley 009B,SO208EH,SO20
England,Test Valley 007B,SO208JY,SO20
England,Test Valley 009B,SO206HH,SO20
England,Test Valley 008C,SO206AX,SO20
England,Test Valley 009B,SO208HE,SO20
England,Test Valley 009B,SO208JW,SO20
England,Test Valley 008B,SO206AY,SO20
England,Test Valley 008B,SO206DB,SO20
England,Test Valley 009A,SO208AX,SO20
England,Test Valley 009A,SO206LW,SO20
England,Test Valley 009A,SO208AG,SO20
England,Test Valley 009B,SO208EX,SO20
England,Test Valley 008B,SO206HL,SO20
England,Test Valley 009B,SO206EG,SO20
England,Test Valley 009A,SO208AD,SO20
England,Test Valley 007B,SO208QZ,SO20
England,Test Valley 009E,SO206DQ,SO20
England,Test Valley 009A,SO208BQ,SO20
England,Test Valley 009B,SO208HD,SO20
England,Test Valley 007B,SO208QN,SO20
England,Test Valley 009B,SO208DN,SO20
England,Test Valley 009A,SO206LJ,SO20
England,Test Valley 009B,SO206JX,SO20
England,Test Valley 009D,SO206QN,SO20
England,Test Valley 009A,SO208BG,SO20
England,Test Valley 009B,SO206EF,SO20
England,Test Valley 009A,SO208BB,SO20
England,Test Valley 008B,SO206DG,SO20
England,Test Valley 009E,SO206PH,SO20
England,Test Valley 007B,SO208GR,SO20
England,Test Valley 009A,SO206LF,SO20
England,Test Valley 007B,SO208QP,SO20
England,Winchester 006C,SO206WS,SO20
England,Test Valley 008B,SO206BL,SO20
England,Test Valley 008B,SO206JJ,SO20
England,Test Valley 009D,SO206BX,SO20
England,Test Valley 009E,SO206PJ,SO20
England,Test Valley 009D,SO206BY,SO20
England,Test Valley 009B,SO206DY,SO20
England,Test Valley 009E,SO206NR,SO20
England,Test Valley 009D,SO206HP,SO20
England,Test Valley 007B,SO208HU,SO20
England,Test Valley 009A,SO208DA,SO20
England,Test Valley 009B,SO206HZ,SO20
England,Test Valley 009D,SO206RQ,SO20
England,Test Valley 009B,SO206DU,SO20
England,Test Valley 009E,SO206JY,SO20
England,Test Valley 009A,SO208BY,SO20
England,Test Valley 007B,SO208LA,SO20
England,Test Valley 007B,SO208DY,SO20
England,Test Valley 009B,SO206HB,SO20
England,Test Valley 009A,SO208AU,SO20
England,Test Valley 009A,SO208BS,SO20
England,Test Valley 009E,SO206NH,SO20
England,Test Valley 007B,SO208JH,SO20
England,Test Valley 009B,SO206DJ,SO20
England,Test Valley 007B,SO208QW,SO20
England,Test Valley 007B,SO208HY,SO20
England,Test Valley 008B,SO206AW,SO20
England,Test Valley 007B,SO208QF,SO20
England,Test Valley 009E,SO206QB,SO20
England,Test Valley 009A,SO206NA,SO20
England,Test Valley 009B,SO208EW,SO20
England,Test Valley 009B,SO208ER,SO20
England,Test Valley 009A,SO208AF,SO20
England,Test Valley 007B,SO208QS,SO20
England,Test Valley 008B,SO206EX,SO20
England,Test Valley 009A,SO206LH,SO20
England,Test Valley 009B,SO206EP,SO20
England,Test Valley 009B,SO206DP,SO20
England,Test Valley 008B,SO206AP,SO20
England,Test Valley 009E,SO206NY,SO20
England,Test Valley 009E,SO206NZ,SO20
England,Test Valley 009E,SO206NW,SO20
England,Test Valley 009B,SO208EJ,SO20
England,Test Valley 009B,SO206EH,SO20
England,Winchester 006C,SO208WP,SO20
England,Test Valley 009B,SO208EA,SO20
England,Test Valley 008B,SO206BG,SO20
England,Test Valley 009B,SO208JP,SO20
England,Test Valley 009A,SO206LG,SO20
England,Test Valley 007B,SO208JZ,SO20
England,Test Valley 009D,SO206PY,SO20
England,Winchester 006C,SO206WE,SO20
England,Test Valley 009A,SO208DQ,SO20
England,Test Valley 009D,SO206RD,SO20
England,Test Valley 009B,SO208JN,SO20
England,Test Valley 009E,SO206PT,SO20
England,Test Valley 009B,SO208DP,SO20
England,Test Valley 009B,SO208HA,SO20
England,Test Valley 009A,SO206FY,SO20
England,Test Valley 009E,SO206NT,SO20
England,Test Valley 009B,SO206ET,SO20
England,Test Valley 007B,SO208QD,SO20
England,Test Valley 009A,SO208BH,SO20
England,Test Valley 009E,SO206PF,SO20
England,Test Valley 009B,SO208EP,SO20
England,Test Valley 008B,SO206AD,SO20
England,Test Valley 009D,SO206RA,SO20
England,Test Valley 007B,SO208JE,SO20
England,Test Valley 009E,SO206RN,SO20
England,Test Valley 009A,SO208DJ,SO20
England,Test Valley 009A,SO208AE,SO20
England,Test Valley 008B,SO206BA,SO20
England,Test Valley 008B,SO206AF,SO20
England,Test Valley 007B,SO208JJ,SO20
England,Test Valley 009B,SO206EQ,SO20
England,Test Valley 007B,SO208DZ,SO20
England,Test Valley 007B,SO208GJ,SO20
England,Test Valley 008B,SO206BQ,SO20
England,Test Valley 009D,SO206PU,SO20
England,Test Valley 009A,SO208BU,SO20
England,Test Valley 009A,SO206LL,SO20
England,Test Valley 009B,SO208EQ,SO20
England,Test Valley 009B,SO206DX,SO20
England,Test Valley 007B,SO208JF,SO20
England,Test Valley 007B,SO208LL,SO20
England,Test Valley 009A,SO206JT,SO20
England,Test Valley 008B,SO206AG,SO20
England,Test Valley 007B,SO208QL,SO20
England,Test Valley 009E,SO206PL,SO20
England,Test Valley 009B,SO208EE,SO20
England,Test Valley 009A,SO208DR,SO20
England,Test Valley 009A,SO208BE,SO20
England,Test Valley 007B,SO208RB,SO20
England,Test Valley 008B,SO206AH,SO20
England,Test Valley 007B,SO208PB,SO20
England,Test Valley 007B,SO208QJ,SO20
England,Test Valley 009B,SO206HS,SO20
England,Test Valley 009A,SO208DH,SO20
England,Test Valley 009B,SO206DR,SO20
England,Test Valley 009D,SO206QT,SO20
England,Test Valley 009E,SO206PD,SO20
England,Test Valley 008B,SO206AA,SO20
England,Test Valley 009E,SO206NG,SO20
England,Test Valley 009A,SO208AW,SO20
England,Test Valley 007B,SO208JS,SO20
England,Test Valley 009D,SO206DF,SO20
England,Test Valley 009E,SO206NX,SO20
England,Test Valley 009B,SO208JR,SO20
England,Test Valley 009B,SO208HB,SO20
England,Test Valley 008B,SO206JQ,SO20
England,Test Valley 009D,SO206QW,SO20
England,Test Valley 009B,SO206HA,SO20
England,Test Valley 008B,SO206BH,SO20
England,Test Valley 009D,SO206QS,SO20
England,Test Valley 009A,SO208BT,SO20
England,Test Valley 009B,SO206HE,SO20
England,Test Valley 009A,SO206LT,SO20
England,Test Valley 007B,SO208QY,SO20
England,Test Valley 009D,SO206JB,SO20
England,Test Valley 008B,SO206EU,SO20
England,Test Valley 009A,SO208DG,SO20
England,Test Valley 009A,SO208BN,SO20
England,Test Valley 009A,SO208BD,SO20
England,Test Valley 009B,SO208ET,SO20
England,Test Valley 009D,SO206RF,SO20
England,Test Valley 009A,SO208AQ,SO20
England,Test Valley 009B,SO208HQ,SO20
England,Test Valley 009D,SO206RL,SO20
England,Test Valley 009A,SO208AB,SO20
England,Test Valley 008B,SO206AR,SO20
England,Test Valley 008B,SO206EN,SO20
England,Test Valley 008B,SO206AE,SO20
England,Test Valley 007B,SO208HN,SO20
England,Test Valley 009D,SO206RJ,SO20
England,Test Valley 009B,SO208EF,SO20
England,Test Valley 009B,SO206DW,SO20
England,Test Valley 009D,SO206QP,SO20
England,Test Valley 009B,SO208EU,SO20
England,Test Valley 009A,SO208AH,SO20
England,Test Valley 007B,SO208QX,SO20
England,Test Valley 009B,SO206JP,SO20
England,Test Valley 009A,SO206JU,SO20
England,Test Valley 007B,SO208GH,SO20
England,Test Valley 008B,SO206BU,SO20
England,Test Valley 009A,SO206SA,SO20
England,Test Valley 009E,SO206PA,SO20
England,Test Valley 009A,SO208AY,SO20
England,Test Valley 009A,SO208AZ,SO20
England,Test Valley 008B,SO206AT,SO20
England,Test Valley 009D,SO206QU,SO20
England,Test Valley 007B,SO208HW,SO20
England,Test Valley 009B,SO206DZ,SO20
England,Test Valley 009A,SO208BX,SO20
England,Test Valley 009B,SO208JL,SO20
England,Test Valley 009A,SO206LQ,SO20
England,Test Valley 009B,SO206EE,SO20
England,Test Valley 007B,SO208JX,SO20
England,Test Valley 008B,SO206HN,SO20
England,Test Valley 009A,SO208AT,SO20
England,Test Valley 009A,SO208AL,SO20
England,Test Valley 007B,SO208QH,SO20
England,Test Valley 009A,SO206LN,SO20
England,Test Valley 009B,SO208HR,SO20
England,Test Valley 008B,SO206DD,SO20
England,Test Valley 009D,SO206RH,SO20
England,Test Valley 009E,SO206NU,SO20
England,Test Valley 007B,SO208QU,SO20
England,Winchester 006C,SO206ZL,SO20
England,Test Valley 007B,SO208HS,SO20
England,Test Valley 009B,SO206DL,SO20
England,Test Valley 007B,SO208JQ,SO20
England,Test Valley 007B,SO208PA,SO20
England,Test Valley 009D,SO206PX,SO20
England,Test Valley 008B,SO206AL,SO20
England,Test Valley 008B,SO206JH,SO20
England,Test Valley 009B,SO206ED,SO20
England,Test Valley 009A,SO208AN,SO20
England,Test Valley 009D,SO206RE,SO20
England,Test Valley 009E,SO206PB,SO20
England,Test Valley 008B,SO206JE,SO20
England,Test Valley 007B,SO208RA,SO20
England,Test Valley 009B,SO206ES,SO20
England,Test Valley 007B,SO208HX,SO20
England,Test Valley 009A,SO206RX,SO20
England,Test Valley 008B,SO206AQ,SO20
England,Test Valley 009A,SO208AR,SO20
England,Test Valley 007B,SO208GS,SO20
England,Test Valley 007B,SO208JT,SO20
England,Test Valley 009B,SO206JA,SO20
England,Test Valley 008B,SO206BE,SO20
England,Test Valley 007B,SO208GD,SO20
England,Test Valley 007B,SO208GA,SO20
England,Test Valley 008B,SO206HJ,SO20
England,Test Valley 009E,SO206NL,SO20
England,Test Valley 009B,SO206HF,SO20
England,Test Valley 008C,SO206BS,SO20
England,Test Valley 008B,SO206BJ,SO20
