Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,County Durham 025B,SR83QR,SR83
England,County Durham 025B,SR83SN,SR83
England,County Durham 025D,SR83JS,SR83
England,County Durham 025B,SR83PZ,SR83
England,County Durham 025C,SR83AX,SR83
England,County Durham 025A,SR83LU,SR83
England,County Durham 025B,SR83PR,SR83
England,County Durham 025D,SR83US,SR83
England,County Durham 025D,SR83AL,SR83
England,County Durham 025D,SR83BW,SR83
England,County Durham 025A,SR83NJ,SR83
England,County Durham 025B,SR83SS,SR83
England,County Durham 025D,SR83NX,SR83
England,County Durham 025A,SR83DR,SR83
England,County Durham 025C,SR83AH,SR83
England,County Durham 025C,SR83BL,SR83
England,County Durham 032B,SR83TF,SR83
England,County Durham 025D,SR83DF,SR83
England,County Durham 025D,SR83DG,SR83
England,County Durham 025B,SR83PF,SR83
England,County Durham 032B,SR83JF,SR83
England,County Durham 025D,SR83DB,SR83
England,County Durham 025B,SR83RG,SR83
England,County Durham 025B,SR83QH,SR83
England,County Durham 025C,SR83AQ,SR83
England,County Durham 025A,SR83DH,SR83
England,County Durham 032B,SR83HB,SR83
England,County Durham 025B,SR83RT,SR83
England,County Durham 025D,SR83AS,SR83
England,County Durham 032B,SR83HA,SR83
England,County Durham 032B,SR83JQ,SR83
England,County Durham 025B,SR83PL,SR83
England,County Durham 025B,SR83SA,SR83
England,County Durham 025D,SR83BA,SR83
England,County Durham 032B,SR83HW,SR83
England,County Durham 025C,SR83BH,SR83
England,County Durham 025A,SR83DW,SR83
England,County Durham 025A,SR83LY,SR83
England,County Durham 025B,SR83RB,SR83
England,County Durham 025C,SR83EG,SR83
England,County Durham 025D,SR83BY,SR83
England,County Durham 025D,SR83AT,SR83
England,County Durham 032B,SR83LJ,SR83
England,County Durham 025B,SR83RU,SR83
England,County Durham 025D,SR83TZ,SR83
England,County Durham 032B,SR83HJ,SR83
England,County Durham 025D,SR83AU,SR83
England,County Durham 032B,SR83HL,SR83
England,County Durham 032F,SR83TD,SR83
England,County Durham 025A,SR83LD,SR83
England,County Durham 037A,SR83YS,SR83
England,County Durham 025D,SR83TP,SR83
England,County Durham 032B,SR83HD,SR83
England,County Durham 025A,SR83JT,SR83
England,County Durham 032B,SR83HP,SR83
