Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Basildon 005B,SS118AH,SS11
England,Basildon 005C,SS117FQ,SS11
England,Basildon 005C,SS117FR,SS11
England,Basildon 005D,SS118JD,SS11
England,Basildon 005D,SS118JW,SS11
England,Basildon 005D,SS118HT,SS11
England,Chelmsford 021A,SS117JD,SS11
England,Basildon 007B,SS118NG,SS11
England,Basildon 005C,SS117JR,SS11
England,Chelmsford 021C,SS117QG,SS11
England,Southend-on-Sea 015D,SS11QA,SS11
England,Basildon 007A,SS118XX,SS11
England,Rochford 006A,SS118TZ,SS11
England,Basildon 005A,SS117EE,SS11
England,Basildon 005D,SS118JX,SS11
England,Basildon 005C,SS117AR,SS11
England,Basildon 007B,SS118LN,SS11
England,Basildon 005A,SS117AS,SS11
England,Basildon 007D,SS118QJ,SS11
England,Basildon 005D,SS118HG,SS11
England,Rochford 006A,SS118SQ,SS11
England,Chelmsford 021B,SS117QL,SS11
England,Southend-on-Sea 015C,SS11HN,SS11
England,Rochford 006A,SS118SW,SS11
England,Basildon 007A,SS118XP,SS11
England,Chelmsford 021A,SS117EU,SS11
England,Basildon 005B,SS118GB,SS11
England,Basildon 005B,SS118AY,SS11
England,Basildon 007C,SS118QF,SS11
England,Basildon 007B,SS118JS,SS11
England,Basildon 005A,SS117DE,SS11
England,Basildon 007B,SS118LH,SS11
England,Chelmsford 021C,SS117LN,SS11
England,Basildon 005B,SS118AJ,SS11
England,Southend-on-Sea 015F,SS11PQ,SS11
England,Basildon 007C,SS118YH,SS11
England,Chelmsford 021A,SS117HS,SS11
England,Basildon 007D,SS118XR,SS11
England,Basildon 007C,SS118GE,SS11
England,Chelmsford 021A,SS117FG,SS11
England,Basildon 005C,SS117NN,SS11
England,Basildon 007D,SS118RH,SS11
England,Chelmsford 021A,SS117HU,SS11
England,Chelmsford 021C,SS117NR,SS11
England,Basildon 005B,SS118EN,SS11
England,Southend-on-Sea 015B,SS11AS,SS11
England,Southend-on-Sea 015A,SS11DL,SS11
England,Basildon 005A,SS118HN,SS11
England,Basildon 007D,SS118WJ,SS11
England,Chelmsford 021B,SS117QR,SS11
England,Basildon 005D,SS118JN,SS11
England,Basildon 005B,SS119AB,SS11
England,Chelmsford 021B,SS117XX,SS11
England,Southend-on-Sea 015C,SS11EJ,SS11
England,Basildon 007A,SS118XE,SS11
England,Southend-on-Sea 015D,SS11LU,SS11
England,Basildon 005D,SS118JJ,SS11
England,Chelmsford 021A,SS117EZ,SS11
England,Chelmsford 021B,SS117QS,SS11
England,Southend-on-Sea 015B,SS11DX,SS11
England,Southend-on-Sea 015B,SS11JN,SS11
England,Chelmsford 021B,SS117GR,SS11
England,Basildon 007B,SS118NH,SS11
England,Basildon 007D,SS118YG,SS11
England,Southend-on-Sea 015B,SS11JU,SS11
England,Chelmsford 021C,SS117LS,SS11
England,Basildon 005C,SS117LA,SS11
England,Basildon 007B,SS118LX,SS11
England,Chelmsford 021A,SS117DQ,SS11
England,Basildon 007B,SS118ND,SS11
England,Basildon 005A,SS117EG,SS11
England,Basildon 007D,SS118XW,SS11
England,Southend-on-Sea 015C,SS11HF,SS11
England,Basildon 007C,SS118DD,SS11
England,Southend-on-Sea 015D,SS11NX,SS11
England,Basildon 005C,SS117BA,SS11
England,Basildon 007A,SS118XB,SS11
England,Chelmsford 021A,SS117BG,SS11
