Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Stoke-on-Trent 011D,ST15DS,ST15
England,Stafford 003A,ST158FP,ST15
England,Stafford 003A,ST158NF,ST15
England,Stoke-on-Trent 015D,ST15RW,ST15
England,Stafford 004B,ST158PX,ST15
England,Stoke-on-Trent 015D,ST15LR,ST15
England,Stafford 005E,ST150QN,ST15
England,Stafford 004D,ST150YY,ST15
England,Stafford 004D,ST150EW,ST15
England,Stoke-on-Trent 011D,ST15DR,ST15
England,Stafford 004D,ST150BD,ST15
England,Stoke-on-Trent 015D,ST15NH,ST15
England,Stafford 004C,ST158XY,ST15
England,Stafford 003B,ST158GR,ST15
England,Stafford 004D,ST150FF,ST15
England,Stafford 005A,ST150BZ,ST15
England,Stafford 004D,ST150HA,ST15
England,Stoke-on-Trent 011C,ST15HZ,ST15
England,Stafford 003C,ST158QZ,ST15
England,Stafford 002E,ST150PN,ST15
England,Stafford 004A,ST158SF,ST15
England,Stoke-on-Trent 011D,ST15QW,ST15
England,Stafford 004E,ST150JT,ST15
England,Stafford 004A,ST150UF,ST15
England,Stafford 002C,ST158SY,ST15
England,Stafford 005A,ST150PD,ST15
England,Stoke-on-Trent 011D,ST15JS,ST15
England,Stafford 003A,ST158PD,ST15
England,Stafford 003C,ST158BH,ST15
England,Stafford 004D,ST150EJ,ST15
England,Stafford 004E,ST150XU,ST15
England,Stafford 004A,ST150BS,ST15
England,Stafford 003F,ST150EB,ST15
England,Stafford 004B,ST158ST,ST15
England,Stafford 005A,ST150BF,ST15
England,Stafford 003B,ST158ZN,ST15
England,Stafford 004B,ST158FX,ST15
England,Stoke-on-Trent 015B,ST15UB,ST15
England,Stafford 004A,ST158RU,ST15
England,Stafford 003B,ST158EP,ST15
England,Stafford 003F,ST150WF,ST15
England,Stafford 004C,ST158YA,ST15
England,Stafford 003B,ST158HP,ST15
England,Stafford 004C,ST158GJ,ST15
England,Stafford 002E,ST150SG,ST15
England,Stafford 003A,ST158NW,ST15
England,Stoke-on-Trent 011C,ST15EN,ST15
England,Stoke-on-Trent 011C,ST15HY,ST15
England,Stafford 004A,ST150BE,ST15
England,Stafford 002E,ST150RG,ST15
England,Stafford 004C,ST158FJ,ST15
England,Stoke-on-Trent 009E,ST15HB,ST15
England,Stafford 003A,ST158NS,ST15
England,Stafford 003F,ST150EG,ST15
England,Stafford 003E,ST150AF,ST15
England,Stafford 004B,ST158XW,ST15
England,Stafford 002C,ST158UW,ST15
England,Stoke-on-Trent 011C,ST15JY,ST15
England,Stafford 003A,ST158FE,ST15
England,Stafford 004E,ST150LY,ST15
England,Stafford 003D,ST158LN,ST15
England,Stafford 004D,ST150BB,ST15
England,Stafford 005E,ST150NL,ST15
England,Stoke-on-Trent 011D,ST15RA,ST15
England,Stafford 003C,ST158WP,ST15
England,Stafford 005A,ST150NX,ST15
England,Stafford 004E,ST150AN,ST15
England,Stoke-on-Trent 015B,ST15PG,ST15
England,Stafford 003B,ST158HL,ST15
England,Stafford 003E,ST150AD,ST15
England,Stafford 004A,ST158RD,ST15
England,Stoke-on-Trent 015D,ST15ND,ST15
England,Stafford 003A,ST158QT,ST15
England,Stoke-on-Trent 015B,ST15EZ,ST15
England,Stafford 003F,ST150HZ,ST15
England,Stafford 001B,ST158RQ,ST15
England,Stafford 004D,ST150SR,ST15
England,Stafford 003C,ST158BT,ST15
England,Stafford 003C,ST158EZ,ST15
