Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
Wales,Powys 005D,SY218JF,SY21
Wales,Powys 005D,SY218JD,SY21
Wales,Powys 002A,SY219NH,SY21
Wales,Powys 005A,SY218QS,SY21
Wales,Powys 002A,SY219EE,SY21
Wales,Powys 002A,SY219FB,SY21
Wales,Powys 006C,SY218BW,SY21
Wales,Powys 006B,SY210HA,SY21
Wales,Powys 005B,SY218LU,SY21
Wales,Powys 005B,SY218PA,SY21
Wales,Powys 003B,SY217EY,SY21
Wales,Powys 003C,SY219JS,SY21
Wales,Powys 002A,SY219PD,SY21
Wales,Powys 006B,SY210BX,SY21
Wales,Powys 006B,SY210EF,SY21
Wales,Powys 006B,SY210JR,SY21
Wales,Powys 003A,SY217DF,SY21
Wales,Powys 006B,SY210SQ,SY21
Wales,Powys 004B,SY210EL,SY21
Wales,Powys 003B,SY217HF,SY21
Wales,Powys 003B,SY217EL,SY21
Wales,Powys 001E,SY210JT,SY21
Wales,Powys 003B,SY217AE,SY21
Wales,Powys 005B,SY218HH,SY21
Wales,Powys 005D,SY218ED,SY21
Wales,Powys 003B,SY217BL,SY21
Wales,Powys 003B,SY217QX,SY21
Wales,Powys 006B,SY210BY,SY21
England,Shropshire 030E,SY218JP,SY21
Wales,Powys 002A,SY219LL,SY21
Wales,Powys 003D,SY217PQ,SY21
Wales,Powys 005D,SY218EN,SY21
Wales,Powys 005D,SY218EL,SY21
Wales,Powys 003D,SY217QS,SY21
Wales,Powys 003A,SY218RS,SY21
Wales,Powys 003C,SY219JR,SY21
Wales,Powys 003B,SY217EF,SY21
Wales,Powys 004B,SY210JJ,SY21
Wales,Powys 006C,SY210AE,SY21
Wales,Powys 006B,SY210DF,SY21
Wales,Powys 004B,SY210QJ,SY21
Wales,Powys 003A,SY217LT,SY21
Wales,Powys 005D,SY218DG,SY21
Wales,Powys 004B,SY210QL,SY21
Wales,Powys 003D,SY219BP,SY21
Wales,Powys 003B,SY217BE,SY21
Wales,Powys 005A,SY218AY,SY21
Wales,Powys 005D,SY218EH,SY21
Wales,Powys 003B,SY218WY,SY21
Wales,Powys 003D,SY217PB,SY21
