Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sedgemoor 004B,TA81EF,TA81
England,Sedgemoor 004E,TA81HB,TA81
England,Sedgemoor 004D,TA81LG,TA81
England,Sedgemoor 004C,TA81BN,TA81
England,Sedgemoor 004D,TA81PP,TA81
England,Sedgemoor 004C,TA81ER,TA81
England,Sedgemoor 005D,TA81NG,TA81
England,Sedgemoor 004C,TA81PF,TA81
England,Sedgemoor 004C,TA81DL,TA81
England,Sedgemoor 004E,TA81HX,TA81
England,Sedgemoor 004D,TA81HJ,TA81
England,Sedgemoor 004E,TA81JA,TA81
England,Sedgemoor 004C,TA81DF,TA81
England,Sedgemoor 004C,TA81PB,TA81
England,Sedgemoor 004C,TA81BW,TA81
England,Sedgemoor 004C,TA81PX,TA81
England,Sedgemoor 005A,TA81QT,TA81
England,Sedgemoor 004D,TA81EY,TA81
England,Sedgemoor 005D,TA81LS,TA81
England,Sedgemoor 004B,TA81DX,TA81
England,Sedgemoor 004D,TA81GA,TA81
England,Sedgemoor 004E,TA81JD,TA81
England,Sedgemoor 005A,TA81QX,TA81
England,Sedgemoor 005D,TA81LR,TA81
England,Sedgemoor 004D,TA81LE,TA81
England,Sedgemoor 004B,TA81AL,TA81
England,Sedgemoor 004C,TA81PA,TA81
England,Sedgemoor 005A,TA81JH,TA81
England,Sedgemoor 004D,TA81QP,TA81
England,Sedgemoor 004D,TA81QN,TA81
England,Sedgemoor 004C,TA81NY,TA81
England,Sedgemoor 004D,TA81EA,TA81
England,Sedgemoor 004C,TA81BS,TA81
England,Sedgemoor 004C,TA81DR,TA81
England,Sedgemoor 004C,TA81PU,TA81
England,Sedgemoor 004D,TA81JE,TA81
England,Sedgemoor 004B,TA81AU,TA81
England,Sedgemoor 004C,TA81BZ,TA81
England,Sedgemoor 005A,TA81RF,TA81
England,Sedgemoor 004C,TA81BY,TA81
England,Sedgemoor 005D,TA81NJ,TA81
England,Sedgemoor 004B,TA81BA,TA81
England,Sedgemoor 004B,TA81AB,TA81
