Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Telford and Wrekin 012D,TF19EB,TF19
England,Telford and Wrekin 012D,TF19DS,TF19
England,Telford and Wrekin 012D,TF19ED,TF19
England,Telford and Wrekin 012D,TF19AL,TF19
England,Telford and Wrekin 012D,TF19AN,TF19
England,Telford and Wrekin 012D,TF19DW,TF19
England,Telford and Wrekin 012D,TF19DU,TF19
England,Telford and Wrekin 012D,TF19BT,TF19
England,Telford and Wrekin 012D,TF19AY,TF19
England,Telford and Wrekin 012D,TF19BH,TF19
