Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Tunbridge Wells 012E,TN25DW,TN25
England,Ashford 001E,TN255EF,TN25
England,Ashford 004I,TN254PB,TN25
England,Ashford 010C,TN256AP,TN25
England,Shepway 009D,TN256JZ,TN25
England,Ashford 010C,TN256QA,TN25
England,Tunbridge Wells 012B,TN25QT,TN25
England,Ashford 010B,TN257EJ,TN25
England,Ashford 010C,TN256AW,TN25
England,Ashford 001D,TN255EU,TN25
England,Ashford 002D,TN254NF,TN25
England,Ashford 010C,TN255LS,TN25
England,Ashford 010C,TN255LZ,TN25
England,Tunbridge Wells 012E,TN25DQ,TN25
England,Tunbridge Wells 012A,TN25PQ,TN25
England,Ashford 001E,TN255BD,TN25
England,Shepway 001C,TN255JY,TN25
England,Ashford 010B,TN257EG,TN25
England,Ashford 002C,TN254BS,TN25
England,Tunbridge Wells 010A,TN25TQ,TN25
England,Tunbridge Wells 012D,TN25SQ,TN25
England,Ashford 010D,TN257HG,TN25
England,Tunbridge Wells 009C,TN25HD,TN25
England,Tunbridge Wells 012A,TN25XU,TN25
England,Ashford 002D,TN254LF,TN25
England,Ashford 010C,TN255HU,TN25
England,Tunbridge Wells 012E,TN25DL,TN25
England,Ashford 010D,TN256NZ,TN25
England,Ashford 001E,TN255DE,TN25
England,Ashford 001E,TN255DL,TN25
England,Ashford 010D,TN256NR,TN25
England,Ashford 001C,TN254HE,TN25
England,Ashford 010C,TN255LW,TN25
England,Ashford 001D,TN255DX,TN25
England,Shepway 009D,TN256LE,TN25
England,Shepway 009D,TN256EL,TN25
England,Ashford 010D,TN257AD,TN25
England,Ashford 004B,TN254AJ,TN25
England,Ashford 001F,TN254PD,TN25
England,Tunbridge Wells 012A,TN25RY,TN25
England,Ashford 010D,TN257HJ,TN25
England,Ashford 001D,TN255ED,TN25
England,Ashford 010C,TN256AT,TN25
England,Tunbridge Wells 012B,TN25SR,TN25
England,Ashford 001G,TN254ER,TN25
England,Tunbridge Wells 012B,TN25JT,TN25
England,Ashford 001C,TN254HF,TN25
England,Shepway 009D,TN256ET,TN25
England,Ashford 001E,TN255EW,TN25
England,Tunbridge Wells 012B,TN25GT,TN25
England,Ashford 001E,TN255AX,TN25
England,Ashford 010A,TN257EY,TN25
England,Ashford 001G,TN254HT,TN25
England,Ashford 010B,TN257BL,TN25
England,Ashford 001D,TN255BX,TN25
England,Ashford 010D,TN256PS,TN25
England,Ashford 002C,TN254AR,TN25
England,Tunbridge Wells 010A,TN25PS,TN25
England,Tunbridge Wells 012B,TN25NF,TN25
England,Ashford 001G,TN254PR,TN25
England,Ashford 010A,TN256WA,TN25
England,Tunbridge Wells 010A,TN25PN,TN25
England,Ashford 002D,TN254LS,TN25
England,Tunbridge Wells 012B,TN25SL,TN25
England,Ashford 002C,TN254JH,TN25
England,Ashford 010B,TN257BB,TN25
England,Ashford 010A,TN257DB,TN25
England,Ashford 001G,TN254EP,TN25
England,Shepway 009C,TN256DW,TN25
England,Ashford 002C,TN254DQ,TN25
England,Ashford 010A,TN257DW,TN25
England,Ashford 010D,TN256LZ,TN25
England,Shepway 009D,TN256BU,TN25
England,Tunbridge Wells 012B,TN25SW,TN25
England,Tunbridge Wells 012C,TN25LT,TN25
England,Ashford 010B,TN257BH,TN25
England,Ashford 010A,TN256QH,TN25
England,Shepway 009D,TN256ED,TN25
England,Shepway 001C,TN256BG,TN25
England,Shepway 001C,TN256BQ,TN25
England,Ashford 010D,TN257HW,TN25
England,Ashford 001E,TN255DN,TN25
England,Ashford 004I,TN254PY,TN25
England,Ashford 001D,TN255ET,TN25
England,Shepway 009D,TN256JW,TN25
England,Ashford 010C,TN255NA,TN25
England,Ashford 010B,TN257AN,TN25
England,Ashford 010D,TN257FT,TN25
England,Ashford 002C,TN254BQ,TN25
England,Shepway 001C,TN255JN,TN25
England,Tunbridge Wells 012C,TN25NB,TN25
England,Ashford 010D,TN257FP,TN25
England,Ashford 001E,TN255PL,TN25
England,Ashford 002C,TN254BT,TN25
England,Ashford 001D,TN255DY,TN25
England,Ashford 010A,TN257DN,TN25
England,Ashford 001G,TN254PU,TN25
England,Ashford 010A,TN256SG,TN25
England,Shepway 009D,TN256JP,TN25
England,Shepway 009C,TN256DD,TN25
England,Shepway 001C,TN256BB,TN25
England,Ashford 001C,TN254HA,TN25
England,Tunbridge Wells 012B,TN25QW,TN25
England,Ashford 001E,TN255NR,TN25
England,Ashford 010B,TN257BN,TN25
England,Ashford 001G,TN254PE,TN25
England,Tunbridge Wells 012C,TN25NA,TN25
England,Ashford 010B,TN257AY,TN25
England,Tunbridge Wells 012A,TN25QQ,TN25
England,Ashford 001G,TN254HW,TN25
England,Ashford 001E,TN255NY,TN25
England,Ashford 010A,TN256UZ,TN25
England,Tunbridge Wells 012C,TN25XG,TN25
England,Ashford 001E,TN255AL,TN25
England,Tunbridge Wells 012C,TN25LP,TN25
England,Ashford 001E,TN255BQ,TN25
England,Ashford 010C,TN256TG,TN25
England,Shepway 009D,TN256DA,TN25
