Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Teignbridge 016B,TQ124AS,TQ12
England,Teignbridge 011E,TQ124QF,TQ12
England,Teignbridge 014B,TQ129EX,TQ12
England,Teignbridge 012D,TQ122PY,TQ12
England,Teignbridge 014B,TQ129HS,TQ12
England,Teignbridge 015A,TQ121YY,TQ12
England,Teignbridge 019A,TQ125LQ,TQ12
England,Teignbridge 013A,TQ126BH,TQ12
England,Teignbridge 014B,TQ129SA,TQ12
England,Teignbridge 015A,TQ121SL,TQ12
England,Teignbridge 018A,TQ124ST,TQ12
England,Teignbridge 019D,TQ125RQ,TQ12
England,Teignbridge 009A,TQ123HT,TQ12
England,Teignbridge 007C,TQ126GF,TQ12
England,Teignbridge 014B,TQ126XS,TQ12
England,Teignbridge 014B,TQ125WX,TQ12
England,Teignbridge 012D,TQ122PL,TQ12
England,Torbay 010C,TQ12JH,TQ12
England,Teignbridge 018D,TQ125BB,TQ12
England,Teignbridge 007D,TQ126HT,TQ12
England,Teignbridge 018A,TQ124SY,TQ12
England,Teignbridge 019C,TQ125YL,TQ12
England,Teignbridge 014B,TQ122DB,TQ12
England,Teignbridge 018A,TQ124RR,TQ12
England,Teignbridge 018A,TQ124RN,TQ12
England,Teignbridge 012C,TQ121RU,TQ12
England,Teignbridge 018C,TQ125EZ,TQ12
England,Teignbridge 019B,TQ126DJ,TQ12
England,Torbay 008C,TQ12BD,TQ12
England,Teignbridge 014B,TQ122ZS,TQ12
England,Teignbridge 016C,TQ124LR,TQ12
England,Teignbridge 007B,TQ126SP,TQ12
England,Torbay 010C,TQ12QD,TQ12
England,Teignbridge 014B,TQ122YH,TQ12
England,Teignbridge 014B,TQ121XU,TQ12
England,Torbay 010E,TQ12PN,TQ12
England,Teignbridge 013A,TQ126DH,TQ12
England,Teignbridge 007B,TQ126SY,TQ12
England,Torbay 008C,TQ12AA,TQ12
England,Teignbridge 007C,TQ126GH,TQ12
England,Teignbridge 014B,TQ124XX,TQ12
England,Teignbridge 009F,TQ123TW,TQ12
England,Teignbridge 016C,TQ124LQ,TQ12
England,Teignbridge 007B,TQ126GY,TQ12
England,Teignbridge 014B,TQ122TF,TQ12
England,Teignbridge 011C,TQ123QQ,TQ12
England,Teignbridge 015D,TQ121DG,TQ12
England,Torbay 008C,TQ12BB,TQ12
England,Teignbridge 013A,TQ126LZ,TQ12
England,Teignbridge 009B,TQ123SU,TQ12
England,Teignbridge 018A,TQ124SZ,TQ12
England,Teignbridge 013A,TQ126BZ,TQ12
England,Teignbridge 007A,TQ126RQ,TQ12
England,Teignbridge 013A,TQ126LU,TQ12
England,Teignbridge 014B,TQ122ER,TQ12
England,Teignbridge 019C,TQ125RT,TQ12
England,Teignbridge 012B,TQ121YJ,TQ12
England,Teignbridge 007B,TQ126SS,TQ12
England,Teignbridge 009A,TQ123AZ,TQ12
England,Teignbridge 009B,TQ123SH,TQ12
England,Teignbridge 018B,TQ125BH,TQ12
England,Teignbridge 013B,TQ126YR,TQ12
England,Teignbridge 019C,TQ125RP,TQ12
England,Teignbridge 019C,TQ125RG,TQ12
England,Teignbridge 016A,TQ124ES,TQ12
England,Teignbridge 014A,TQ124DD,TQ12
England,Teignbridge 012D,TQ122NJ,TQ12
England,Teignbridge 012A,TQ121NW,TQ12
England,Teignbridge 012A,TQ121SS,TQ12
England,Teignbridge 018A,TQ124SH,TQ12
England,Torbay 008C,TQ12DF,TQ12
England,Teignbridge 009B,TQ123FY,TQ12
England,Teignbridge 009A,TQ123DB,TQ12
England,Teignbridge 014C,TQ122EW,TQ12
England,Teignbridge 009D,TQ123HY,TQ12
England,Teignbridge 016B,TQ124JN,TQ12
England,Teignbridge 018C,TQ125HG,TQ12
England,Teignbridge 014B,TQ125YX,TQ12
England,Teignbridge 011C,TQ123LB,TQ12
England,Teignbridge 014B,TQ129TB,TQ12
England,Teignbridge 009A,TQ123DD,TQ12
England,Teignbridge 019C,TQ125YH,TQ12
England,Teignbridge 015D,TQ121EA,TQ12
England,Torbay 010E,TQ12QW,TQ12
England,Teignbridge 009D,TQ123JZ,TQ12
England,Torbay 010B,TQ12DN,TQ12
