Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Cornwall 070C,TR185QW,TR18
England,Cornwall 067D,TR183AA,TR18
England,Cornwall 070A,TR184QJ,TR18
England,Cornwall 068D,TR184BT,TR18
England,Cornwall 067A,TR183BJ,TR18
England,Cornwall 068D,TR184AY,TR18
England,Cornwall 070A,TR184PH,TR18
England,Cornwall 068D,TR184HT,TR18
England,Cornwall 068A,TR182SJ,TR18
England,Cornwall 067C,TR184ST,TR18
England,Cornwall 068A,TR184EG,TR18
England,Cornwall 070B,TR185JZ,TR18
England,Cornwall 068D,TR184DT,TR18
England,Cornwall 068C,TR182HZ,TR18
England,Cornwall 068A,TR182QW,TR18
England,Cornwall 067C,TR182RP,TR18
England,Cornwall 067A,TR183LB,TR18
England,Cornwall 070A,TR184NN,TR18
England,Cornwall 070D,TR185JQ,TR18
England,Cornwall 070A,TR184QZ,TR18
England,Cornwall 070C,TR185DR,TR18
England,Cornwall 068D,TR184DU,TR18
England,Cornwall 067C,TR184RR,TR18
England,Cornwall 070B,TR185LQ,TR18
England,Cornwall 067D,TR183AE,TR18
England,Cornwall 070D,TR185DZ,TR18
England,Cornwall 070C,TR185AS,TR18
England,Cornwall 068A,TR182RF,TR18
England,Cornwall 068A,TR182JJ,TR18
England,Cornwall 067A,TR183BY,TR18
England,Cornwall 067B,TR183HD,TR18
England,Cornwall 070D,TR185JH,TR18
England,Cornwall 068A,TR182RQ,TR18
England,Cornwall 068D,TR184BQ,TR18
England,Cornwall 070B,TR185JS,TR18
England,Cornwall 070D,TR185NG,TR18
England,Cornwall 067B,TR183ES,TR18
England,Cornwall 067B,TR183EE,TR18
England,Cornwall 070C,TR185AU,TR18
England,Cornwall 068D,TR182NB,TR18
England,Cornwall 067A,TR183DT,TR18
England,Cornwall 067A,TR183BU,TR18
England,Cornwall 070D,TR185JN,TR18
England,Cornwall 070C,TR185AR,TR18
England,Cornwall 067A,TR183QS,TR18
England,Cornwall 070D,TR185BE,TR18
England,Cornwall 070A,TR184QH,TR18
England,Cornwall 068A,TR189DW,TR18
England,Cornwall 067D,TR183LL,TR18
England,Cornwall 067C,TR183HL,TR18
England,Cornwall 067C,TR182RW,TR18
England,Cornwall 068A,TR183WD,TR18
England,Cornwall 068A,TR183ED,TR18
England,Cornwall 070D,TR185BP,TR18
England,Cornwall 068D,TR184AU,TR18
England,Cornwall 070C,TR185HT,TR18
England,Cornwall 070A,TR184PD,TR18
England,Cornwall 067A,TR183JE,TR18
England,Cornwall 070C,TR185AE,TR18
England,Cornwall 067C,TR183HZ,TR18
England,Cornwall 068A,TR182TX,TR18
England,Cornwall 068C,TR182BT,TR18
England,Cornwall 067C,TR184RX,TR18
England,Cornwall 070D,TR185HX,TR18
England,Cornwall 068C,TR182TW,TR18
England,Cornwall 068C,TR182SU,TR18
England,Cornwall 068C,TR182GB,TR18
England,Cornwall 067A,TR183DA,TR18
England,Cornwall 068A,TR189EE,TR18
England,Cornwall 067A,TR183DE,TR18
England,Cornwall 068A,TR189ZZ,TR18
England,Cornwall 070A,TR184QN,TR18
England,Cornwall 070D,TR185JL,TR18
England,Cornwall 068A,TR184SP,TR18
England,Cornwall 070D,TR185PT,TR18
England,Cornwall 067A,TR183NJ,TR18
England,Cornwall 070D,TR185EW,TR18
England,Cornwall 070B,TR185LE,TR18
England,Cornwall 068D,TR184FE,TR18
England,Cornwall 068A,TR182PW,TR18
England,Cornwall 067C,TR184LB,TR18
England,Cornwall 067A,TR183JD,TR18
