Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Middlesbrough 020D,TS70JH,TS70
England,Middlesbrough 020F,TS70RN,TS70
England,Redcar and Cleveland 021E,TS70JU,TS70
England,Redcar and Cleveland 021D,TS70LG,TS70
England,Middlesbrough 020E,TS70PU,TS70
England,Redcar and Cleveland 021E,TS70HR,TS70
England,Middlesbrough 020F,TS70AD,TS70
England,Middlesbrough 020F,TS70NB,TS70
England,Middlesbrough 020E,TS70RF,TS70
England,Middlesbrough 020E,TS70PS,TS70
England,Middlesbrough 020F,TS70BT,TS70
England,Middlesbrough 020F,TS70BJ,TS70
England,Redcar and Cleveland 021D,TS70LE,TS70
England,Middlesbrough 020F,TS70BH,TS70
England,Middlesbrough 020E,TS70RQ,TS70
England,Redcar and Cleveland 021E,TS70HS,TS70
England,Middlesbrough 020F,TS70JE,TS70
England,Middlesbrough 020F,TS70RP,TS70
England,Middlesbrough 020D,TS70QD,TS70
England,Middlesbrough 020E,TS70PR,TS70
England,Middlesbrough 020E,TS70DP,TS70
England,Redcar and Cleveland 021E,TS70EF,TS70
England,Middlesbrough 020F,TS70GF,TS70
England,Redcar and Cleveland 021E,TS70EU,TS70
England,Middlesbrough 020E,TS70QF,TS70
England,Redcar and Cleveland 021E,TS70EY,TS70
England,Middlesbrough 020F,TS70DA,TS70
England,Middlesbrough 020D,TS70NE,TS70
England,Middlesbrough 020F,TS70PL,TS70
England,Middlesbrough 020F,TS70GD,TS70
England,Middlesbrough 020F,TS70NG,TS70
England,Middlesbrough 020D,TS70ND,TS70
England,Redcar and Cleveland 021D,TS70DT,TS70
England,Middlesbrough 020D,TS70QL,TS70
England,Hambleton 002A,TS70NT,TS70
England,Middlesbrough 020F,TS70LW,TS70
England,Redcar and Cleveland 021D,TS70LL,TS70
England,Middlesbrough 020E,TS70AH,TS70
England,Redcar and Cleveland 020B,TS70PE,TS70
England,Redcar and Cleveland 021E,TS70EE,TS70
England,Redcar and Cleveland 021E,TS70HA,TS70
England,Redcar and Cleveland 021E,TS70HE,TS70
England,Redcar and Cleveland 021D,TS70LH,TS70
England,Middlesbrough 020F,TS70QS,TS70
England,Redcar and Cleveland 018C,TS70PQ,TS70
England,Middlesbrough 020F,TS70NF,TS70
England,Middlesbrough 020F,TS70NL,TS70
England,Middlesbrough 020F,TS70JD,TS70
England,Middlesbrough 020F,TS70GJ,TS70
England,Redcar and Cleveland 021D,TS70DR,TS70
England,Middlesbrough 020F,TS70AB,TS70
England,Middlesbrough 020E,TS70AP,TS70
England,Redcar and Cleveland 021E,TS70JT,TS70
England,Middlesbrough 020D,TS70QU,TS70
England,Middlesbrough 020F,TS70GB,TS70
England,Redcar and Cleveland 021D,TS70LF,TS70
England,Redcar and Cleveland 021E,TS70EZ,TS70
England,Hambleton 002A,TS70NS,TS70
England,Middlesbrough 020D,TS70LZ,TS70
England,Middlesbrough 020D,TS70LY,TS70
England,Middlesbrough 020F,TS70PD,TS70
England,Middlesbrough 020E,TS70PZ,TS70
England,Redcar and Cleveland 018C,TS70PG,TS70
England,Middlesbrough 020F,TS70BN,TS70
England,Redcar and Cleveland 021D,TS70LQ,TS70
England,Middlesbrough 020E,TS70AE,TS70
England,Middlesbrough 020F,TS70BE,TS70
England,Middlesbrough 020D,TS70JJ,TS70
England,Middlesbrough 020D,TS70QR,TS70
England,Redcar and Cleveland 021E,TS70HW,TS70
England,Redcar and Cleveland 021E,TS70HX,TS70
England,Middlesbrough 020F,TS70GH,TS70
England,Middlesbrough 020E,TS70PY,TS70
England,Middlesbrough 020D,TS70QE,TS70
England,Middlesbrough 020F,TS70AA,TS70
England,Redcar and Cleveland 018C,TS70LD,TS70
England,Middlesbrough 020F,TS70NN,TS70
England,Middlesbrough 020D,TS70QT,TS70
England,Middlesbrough 020F,TS70RJ,TS70
England,Redcar and Cleveland 021E,TS70DX,TS70
England,Middlesbrough 020E,TS70RE,TS70
England,Middlesbrough 020F,TS70GA,TS70
England,Redcar and Cleveland 021E,TS70HD,TS70
England,Redcar and Cleveland 021D,TS70DS,TS70
England,Redcar and Cleveland 021D,TS70HU,TS70
England,Middlesbrough 020D,TS70QN,TS70
England,Middlesbrough 020D,TS70QY,TS70
England,Redcar and Cleveland 021E,TS70HT,TS70
England,Middlesbrough 020D,TS70LS,TS70
England,Middlesbrough 020E,TS70DZ,TS70
England,Redcar and Cleveland 021E,TS70PP,TS70
England,Redcar and Cleveland 021E,TS70HP,TS70
England,Redcar and Cleveland 021E,TS70HG,TS70
England,Middlesbrough 020F,TS70EA,TS70
England,Middlesbrough 020D,TS70QP,TS70
England,Redcar and Cleveland 021E,TS70HJ,TS70
England,Redcar and Cleveland 021E,TS70EX,TS70
England,Middlesbrough 020E,TS70RD,TS70
England,Middlesbrough 020D,TS70QQ,TS70
England,Middlesbrough 020F,TS70GE,TS70
England,Middlesbrough 020F,TS70PW,TS70
England,Redcar and Cleveland 021E,TS70JP,TS70
England,Middlesbrough 020D,TS70PH,TS70
