Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Richmond upon Thames 008B,TW91DX,TW91
England,Richmond upon Thames 006B,TW91UL,TW91
England,Richmond upon Thames 004E,TW91XN,TW91
England,Richmond upon Thames 006A,TW91AX,TW91
England,Richmond upon Thames 008B,TW91RB,TW91
England,Richmond upon Thames 004C,TW91YE,TW91
England,Richmond upon Thames 008B,TW91NS,TW91
England,Richmond upon Thames 006A,TW91RR,TW91
England,Richmond upon Thames 006C,TW91YT,TW91
England,Richmond upon Thames 004E,TW91XH,TW91
England,Richmond upon Thames 004E,TW91XP,TW91
England,Richmond upon Thames 004E,TW91XA,TW91
England,Richmond upon Thames 008B,TW91TY,TW91
England,Richmond upon Thames 008B,TW91JL,TW91
England,Richmond upon Thames 008B,TW91LN,TW91
England,Richmond upon Thames 004E,TW91XL,TW91
England,Richmond upon Thames 008B,TW91HF,TW91
England,Richmond upon Thames 006B,TW91UF,TW91
England,Richmond upon Thames 008B,TW91JW,TW91
England,Richmond upon Thames 004E,TW91YD,TW91
England,Richmond upon Thames 008B,TW91SX,TW91
England,Richmond upon Thames 008B,TW91EA,TW91
England,Richmond upon Thames 008B,TW91PD,TW91
England,Richmond upon Thames 008B,TW91PW,TW91
England,Richmond upon Thames 008B,TW91RW,TW91
England,Richmond upon Thames 006A,TW91AY,TW91
England,Richmond upon Thames 008B,TW91JU,TW91
England,Richmond upon Thames 008B,TW91PX,TW91
England,Richmond upon Thames 008B,TW91JS,TW91
England,Richmond upon Thames 008B,TW91QD,TW91
England,Richmond upon Thames 006B,TW91UN,TW91
England,Richmond upon Thames 006A,TW91AU,TW91
England,Richmond upon Thames 004E,TW91XB,TW91
England,Richmond upon Thames 008B,TW91EP,TW91
England,Richmond upon Thames 008B,TW91AG,TW91
England,Richmond upon Thames 008B,TW91HP,TW91
England,Richmond upon Thames 008B,TW91HA,TW91
England,Richmond upon Thames 008B,TW91SE,TW91
England,Richmond upon Thames 006A,TW91AE,TW91
England,Richmond upon Thames 004E,TW91UZ,TW91
England,Richmond upon Thames 008B,TW91WS,TW91
England,Richmond upon Thames 008B,TW91DT,TW91
England,Richmond upon Thames 008B,TW91EW,TW91
England,Richmond upon Thames 008B,TW91QW,TW91
England,Richmond upon Thames 008B,TW91EH,TW91
England,Richmond upon Thames 008B,TW91NL,TW91
England,Richmond upon Thames 008B,TW91QB,TW91
England,Richmond upon Thames 004E,TW91XW,TW91
England,Richmond upon Thames 004E,TW91YA,TW91
England,Richmond upon Thames 008B,TW91HJ,TW91
England,Richmond upon Thames 008B,TW91EG,TW91
England,Richmond upon Thames 008B,TW91SR,TW91
England,Richmond upon Thames 008B,TW91HU,TW91
England,Richmond upon Thames 008B,TW91HY,TW91
England,Richmond upon Thames 006A,TW91SA,TW91
England,Richmond upon Thames 006A,TW91UH,TW91
England,Richmond upon Thames 004E,TW91XE,TW91
England,Richmond upon Thames 008B,TW91ND,TW91
England,Richmond upon Thames 006A,TW91AZ,TW91
England,Richmond upon Thames 008B,TW91DY,TW91
England,Richmond upon Thames 006B,TW91UR,TW91
England,Richmond upon Thames 006A,TW91BB,TW91
England,Richmond upon Thames 006A,TW91LW,TW91
England,Richmond upon Thames 008B,TW91PE,TW91
England,Richmond upon Thames 008B,TW91ZR,TW91
England,Richmond upon Thames 008B,TW91AD,TW91
England,Richmond upon Thames 008B,TW91QF,TW91
England,Richmond upon Thames 006A,TW91UB,TW91
England,Richmond upon Thames 004E,TW91XS,TW91
England,Richmond upon Thames 008B,TW91PA,TW91
England,Richmond upon Thames 008B,TW91NU,TW91
England,Richmond upon Thames 006A,TW91UA,TW91
England,Richmond upon Thames 006A,TW91LP,TW91
England,Richmond upon Thames 008B,TW91EE,TW91
England,Richmond upon Thames 008B,TW91LL,TW91
England,Richmond upon Thames 006A,TW91UW,TW91
England,Richmond upon Thames 004E,TW91UX,TW91
England,Richmond upon Thames 008B,TW91TW,TW91
England,Richmond upon Thames 008B,TW91PQ,TW91
England,Richmond upon Thames 008B,TW91NY,TW91
England,Richmond upon Thames 004E,TW91YB,TW91
England,Richmond upon Thames 008B,TW91AB,TW91
England,Richmond upon Thames 006C,TW91YS,TW91
England,Richmond upon Thames 004E,TW91XJ,TW91
England,Richmond upon Thames 008B,TW91QH,TW91
England,Richmond upon Thames 006C,TW91YU,TW91
England,Richmond upon Thames 008B,TW91ST,TW91
England,Richmond upon Thames 008B,TW91DL,TW91
England,Richmond upon Thames 008B,TW91JY,TW91
England,Richmond upon Thames 004E,TW91UU,TW91
England,Richmond upon Thames 008B,TW91LY,TW91
England,Richmond upon Thames 008B,TW91PF,TW91
England,Richmond upon Thames 006C,TW91XF,TW91
England,Richmond upon Thames 008B,TW91QS,TW91
England,Richmond upon Thames 008B,TW91PS,TW91
England,Richmond upon Thames 008B,TW91TQ,TW91
England,Richmond upon Thames 008B,TW91NN,TW91
England,Richmond upon Thames 008B,TW91NQ,TW91
England,Richmond upon Thames 006B,TW91YJ,TW91
