Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Ealing 018D,W119FL,W119
England,Ealing 018D,W119EU,W119
England,Ealing 018D,W119FG,W119
England,Ealing 018D,W119FY,W119
England,Ealing 018D,W119AJ,W119
England,Ealing 018D,W119FJ,W119
England,Ealing 018D,W119FW,W119
England,Ealing 018D,W119FU,W119
England,Ealing 018D,W119FH,W119
England,Ealing 018D,W119DX,W119
England,Ealing 018D,W119FE,W119
England,Ealing 018D,W119EG,W119
England,Ealing 018D,W119GG,W119
England,Ealing 018D,W119AH,W119
England,Ealing 018D,W119FA,W119
England,Ealing 018D,W119ET,W119
England,Ealing 018D,W119EL,W119
England,Ealing 018D,W119GJ,W119
England,Ealing 018D,W119FN,W119
England,Ealing 018D,W119EY,W119
England,Ealing 018D,W119EJ,W119
England,Ealing 018D,W119FS,W119
England,Ealing 018D,W119FT,W119
England,Ealing 018D,W119EP,W119
England,Ealing 018D,W119BP,W119
England,Ealing 018D,W119GA,W119
England,Ealing 018D,W119ES,W119
England,Ealing 018D,W119FB,W119
England,Ealing 018D,W119AD,W119
England,Ealing 018D,W119AR,W119
England,Ealing 018D,W119EF,W119
England,Ealing 018D,W119EZ,W119
England,Ealing 018D,W119AQ,W119
England,Ealing 018D,W119GH,W119
England,Ealing 018D,W119FP,W119
England,Ealing 018D,W119ER,W119
England,Ealing 018D,W119DS,W119
England,Ealing 018D,W119EW,W119
England,Ealing 018D,W119FD,W119
England,Ealing 018D,W119AW,W119
England,Ealing 018D,W119EQ,W119
England,Ealing 018D,W119EX,W119
England,Ealing 018D,W119FF,W119
England,Ealing 018D,W119DT,W119
England,Ealing 018D,W119FX,W119
England,Ealing 018D,W119DD,W119
England,Ealing 018D,W119FQ,W119
England,Ealing 018D,W119FR,W119
England,Ealing 018D,W119EN,W119
England,Ealing 018D,W119FZ,W119
England,Ealing 018D,W119EH,W119
England,Ealing 018D,W119GE,W119
England,Ealing 018D,W119GF,W119
England,Ealing 018D,W119EA,W119
England,Ealing 018D,W119GD,W119
