Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Kensington and Chelsea 011A,W86ES,W86E
England,Kensington and Chelsea 011D,W86EL,W86E
England,Kensington and Chelsea 011D,W86EX,W86E
England,Kensington and Chelsea 011D,W86EN,W86E
England,Kensington and Chelsea 011D,W86EP,W86E
England,Kensington and Chelsea 011A,W86ET,W86E
England,Kensington and Chelsea 011A,W86EE,W86E
England,Kensington and Chelsea 011D,W86EB,W86E
England,Kensington and Chelsea 011D,W86EU,W86E
England,Kensington and Chelsea 011A,W86EG,W86E
England,Kensington and Chelsea 011D,W86ER,W86E
England,Kensington and Chelsea 011A,W86ED,W86E
England,Kensington and Chelsea 011D,W86EW,W86E
England,Kensington and Chelsea 011D,W86EQ,W86E
England,Kensington and Chelsea 011D,W86EA,W86E
England,Kensington and Chelsea 011D,W86EJ,W86E
England,Kensington and Chelsea 011A,W86EF,W86E
