Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Kensington and Chelsea 008B,W89SB,W89S
England,Kensington and Chelsea 008B,W89SP,W89S
England,Kensington and Chelsea 008B,W89SN,W89S
England,Kensington and Chelsea 008B,W89SX,W89S
England,Kensington and Chelsea 008B,W89SH,W89S
England,Kensington and Chelsea 008B,W89SQ,W89S
England,Kensington and Chelsea 008B,W89SE,W89S
England,Kensington and Chelsea 008B,W89ST,W89S
England,Kensington and Chelsea 008B,W89SR,W89S
England,Kensington and Chelsea 008B,W89SW,W89S
England,Kensington and Chelsea 008B,W89SA,W89S
England,Kensington and Chelsea 008B,W89SD,W89S
England,Kensington and Chelsea 008B,W89SF,W89S
England,Kensington and Chelsea 008B,W89SL,W89S
England,Kensington and Chelsea 008B,W89SJ,W89S
England,Kensington and Chelsea 008B,W89SG,W89S
England,Kensington and Chelsea 008B,W89SS,W89S
England,Kensington and Chelsea 008B,W89SY,W89S
England,Kensington and Chelsea 008B,W89SU,W89S
