Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Westminster 010B,W93TF,W93T
England,Westminster 010B,W93TB,W93T
England,Westminster 010B,W93TT,W93T
England,Westminster 010B,W93TS,W93T
England,Westminster 010F,W93TL,W93T
England,Westminster 010B,W93TU,W93T
England,Westminster 010B,W93TQ,W93T
England,Westminster 010B,W93TW,W93T
England,Westminster 010B,W93TH,W93T
England,Westminster 010F,W93TZ,W93T
England,Westminster 010B,W93TY,W93T
England,Westminster 010B,W93TX,W93T
England,Westminster 010F,W93TE,W93T
England,Westminster 010B,W93TP,W93T
England,Westminster 010B,W93TA,W93T
England,Westminster 010F,W93TN,W93T
England,Westminster 010F,W93TJ,W93T
England,Westminster 010B,W93TR,W93T
England,Westminster 010B,W93TG,W93T
England,Westminster 010B,W93TD,W93T
