Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Warrington 009A,WA57TX,WA57
England,Warrington 009B,WA57WG,WA57
England,Warrington 009B,WA57WT,WA57
England,Warrington 009B,WA57AA,WA57
England,Warrington 009B,WA57YA,WA57
England,Warrington 009A,WA57TR,WA57
England,Warrington 009A,WA57TT,WA57
England,Warrington 009A,WA57TN,WA57
England,Warrington 009A,WA57TP,WA57
England,Warrington 009B,WA57YD,WA57
England,Warrington 009B,WA57XF,WA57
England,Warrington 009B,WA57XU,WA57
England,Warrington 009B,WA57ZB,WA57
England,Warrington 009A,WA57YF,WA57
England,Warrington 009B,WA57XQ,WA57
England,Warrington 009B,WA57XH,WA57
England,Warrington 009A,WA57ZR,WA57
England,Warrington 009B,WA57XE,WA57
England,Warrington 018G,WA57WD,WA57
England,Warrington 009A,WA57UN,WA57
England,Warrington 009B,WA57WB,WA57
England,Warrington 010A,WA57NS,WA57
England,Warrington 009B,WA57YW,WA57
England,Warrington 010A,WA57NR,WA57
England,Warrington 009A,WA57TY,WA57
England,Warrington 009B,WA57WH,WA57
England,Warrington 009A,WA57YH,WA57
England,Warrington 009A,WA57FZ,WA57
England,Warrington 009B,WA57WA,WA57
England,Warrington 009B,WA57XN,WA57
England,Warrington 009B,WA57XB,WA57
England,Warrington 009B,WA57ZD,WA57
England,Warrington 009A,WA57YE,WA57
England,Warrington 009B,WA57XD,WA57
England,Warrington 009B,WA57YJ,WA57
England,Warrington 009A,WA57XR,WA57
England,Warrington 009A,WA57YS,WA57
England,Warrington 009B,WA57AB,WA57
England,Warrington 010A,WA57NT,WA57
England,Warrington 009B,WA57XA,WA57
England,Warrington 009B,WA57XS,WA57
England,Warrington 009B,WA57XT,WA57
England,Warrington 018G,WA57WX,WA57
England,Warrington 010A,WA57WQ,WA57
England,Warrington 009B,WA57YP,WA57
England,Warrington 009B,WA57UW,WA57
England,Warrington 009A,WA57ZT,WA57
England,Warrington 009A,WA57TS,WA57
England,Warrington 009B,WA57XL,WA57
England,Warrington 009B,WA57FH,WA57
