Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Kirklees 018D,WF128LN,WF12
England,Kirklees 028A,WF120NG,WF12
England,Wakefield 008B,WF12AP,WF12
England,Wakefield 017A,WF12QD,WF12
England,Wakefield 008D,WF12LP,WF12
England,Kirklees 024C,WF129QU,WF12
England,Kirklees 028A,WF120PH,WF12
England,Wakefield 019B,WF12RP,WF12
England,Wakefield 008D,WF12JS,WF12
England,Kirklees 028E,WF120QL,WF12
England,Kirklees 018C,WF127AQ,WF12
England,Wakefield 008B,WF12UL,WF12
England,Kirklees 028E,WF120HJ,WF12
England,Kirklees 018C,WF128AJ,WF12
England,Kirklees 024F,WF120BZ,WF12
England,Kirklees 007A,WF127HU,WF12
England,Kirklees 023E,WF129EJ,WF12
England,Wakefield 025E,WF128NS,WF12
England,Kirklees 014B,WF127DT,WF12
England,Kirklees 023E,WF129HB,WF12
England,Kirklees 018A,WF128RA,WF12
England,Wakefield 008E,WF12ES,WF12
England,Kirklees 018B,WF128NY,WF12
England,Kirklees 028E,WF120HS,WF12
England,Kirklees 018C,WF127DH,WF12
England,Kirklees 028D,WF120EE,WF12
England,Kirklees 018D,WF128LJ,WF12
England,Kirklees 014A,WF127EE,WF12
England,Kirklees 019D,WF129QE,WF12
England,Kirklees 014B,WF127PE,WF12
England,Wakefield 008E,WF12NE,WF12
England,Kirklees 007A,WF127JG,WF12
England,Kirklees 018E,WF128ES,WF12
England,Kirklees 018C,WF128BP,WF12
England,Kirklees 017B,WF128EE,WF12
England,Kirklees 024F,WF120AE,WF12
England,Kirklees 018F,WF127BY,WF12
England,Kirklees 018B,WF128PS,WF12
England,Wakefield 014B,WF12NQ,WF12
England,Wakefield 019A,WF12QL,WF12
England,Wakefield 019A,WF12SU,WF12
England,Kirklees 014B,WF127PT,WF12
England,Wakefield 019A,WF12DW,WF12
England,Kirklees 028C,WF120LG,WF12
England,Kirklees 024A,WF129LA,WF12
England,Kirklees 028E,WF120LF,WF12
England,Kirklees 014B,WF127PD,WF12
England,Wakefield 019B,WF12RR,WF12
England,Wakefield 008D,WF12JT,WF12
England,Kirklees 017B,WF128DD,WF12
England,Kirklees 018D,WF128NB,WF12
England,Wakefield 008B,WF12AD,WF12
England,Kirklees 024D,WF129DN,WF12
England,Kirklees 007A,WF127QU,WF12
England,Kirklees 024F,WF120RF,WF12
England,Kirklees 019D,WF129QN,WF12
England,Wakefield 014B,WF12BG,WF12
England,Kirklees 014B,WF127PW,WF12
England,Kirklees 024D,WF129DJ,WF12
England,Kirklees 028C,WF120JN,WF12
England,Wakefield 014B,WF12BL,WF12
England,Wakefield 014B,WF12FA,WF12
England,Kirklees 014C,WF127RQ,WF12
England,Kirklees 024C,WF129HE,WF12
England,Wakefield 008B,WF12UN,WF12
England,Wakefield 019A,WF12TS,WF12
England,Wakefield 008E,WF12PQ,WF12
England,Kirklees 018D,WF128JL,WF12
England,Wakefield 014B,WF12FD,WF12
England,Kirklees 028C,WF120QR,WF12
England,Kirklees 024A,WF129PW,WF12
England,Kirklees 018B,WF128PP,WF12
England,Kirklees 028A,WF120LR,WF12
England,Kirklees 024C,WF129HA,WF12
England,Kirklees 028D,WF120BB,WF12
England,Kirklees 028D,WF120BU,WF12
England,Kirklees 014D,WF127LS,WF12
England,Kirklees 014C,WF127SB,WF12
England,Kirklees 023E,WF129EA,WF12
England,Kirklees 024C,WF129HS,WF12
England,Kirklees 018C,WF128BB,WF12
England,Wakefield 008D,WF12LW,WF12
England,Kirklees 024C,WF129HD,WF12
England,Kirklees 018D,WF128NH,WF12
England,Kirklees 014D,WF127LX,WF12
England,Wakefield 019A,WF12QZ,WF12
England,Kirklees 018B,WF128QQ,WF12
England,Kirklees 018F,WF127TQ,WF12
England,Kirklees 028D,WF120DR,WF12
England,Wakefield 008E,WF12NJ,WF12
England,Kirklees 028A,WF120PT,WF12
England,Kirklees 014C,WF127NZ,WF12
England,Kirklees 007A,WF127JA,WF12
England,Kirklees 023E,WF129EB,WF12
England,Kirklees 014A,WF127EF,WF12
England,Kirklees 028E,WF120HN,WF12
England,Kirklees 024F,WF120SD,WF12
England,Kirklees 007A,WF127RB,WF12
England,Kirklees 014B,WF127NY,WF12
England,Kirklees 018D,WF128DN,WF12
England,Kirklees 018A,WF128RB,WF12
England,Kirklees 023E,WF129EE,WF12
England,Kirklees 018D,WF128BN,WF12
England,Kirklees 024F,WF120RN,WF12
England,Wakefield 008B,WF12AN,WF12
England,Kirklees 024B,WF129JR,WF12
England,Kirklees 024A,WF129JT,WF12
England,Kirklees 028C,WF120QZ,WF12
England,Wakefield 017D,WF12YN,WF12
England,Wakefield 008C,WF12LG,WF12
England,Kirklees 024F,WF120SB,WF12
England,Kirklees 017B,WF128AB,WF12
England,Wakefield 008B,WF12JG,WF12
England,Kirklees 028E,WF120QT,WF12
England,Kirklees 028A,WF120BL,WF12
England,Wakefield 008D,WF12JU,WF12
England,Wakefield 019A,WF12ST,WF12
England,Wakefield 008D,WF12PR,WF12
England,Wakefield 019B,WF12QS,WF12
England,Kirklees 028C,WF120DF,WF12
England,Wakefield 019B,WF12DE,WF12
England,Kirklees 018B,WF128NX,WF12
England,Kirklees 018E,WF127TA,WF12
England,Kirklees 028C,WF120QU,WF12
England,Kirklees 028C,WF120LB,WF12
England,Kirklees 018E,WF128HZ,WF12
England,Kirklees 013D,WF127NJ,WF12
England,Wakefield 008C,WF12LF,WF12
England,Kirklees 024A,WF129LF,WF12
England,Kirklees 024F,WF120RL,WF12
England,Kirklees 024A,WF129LG,WF12
England,Kirklees 018A,WF128HE,WF12
England,Kirklees 018C,WF127DG,WF12
England,Kirklees 018F,WF127LD,WF12
England,Wakefield 008B,WF12BJ,WF12
England,Kirklees 024A,WF129AE,WF12
England,Kirklees 024B,WF129NB,WF12
England,Kirklees 014B,WF127NL,WF12
England,Kirklees 028B,WF120EL,WF12
England,Kirklees 028A,WF120PA,WF12
England,Kirklees 014C,WF127RF,WF12
England,Wakefield 019B,WF12QJ,WF12
England,Kirklees 028C,WF120JJ,WF12
England,Kirklees 014D,WF127JY,WF12
England,Kirklees 024F,WF120DQ,WF12
England,Kirklees 018A,WF128RD,WF12
England,Wakefield 008B,WF12JD,WF12
England,Kirklees 014C,WF127SH,WF12
England,Kirklees 019D,WF129QH,WF12
England,Kirklees 018D,WF128NJ,WF12
England,Kirklees 017B,WF128AT,WF12
England,Kirklees 018C,WF127BE,WF12
England,Kirklees 014B,WF127PR,WF12
England,Kirklees 018F,WF127BU,WF12
England,Wakefield 008E,WF12PN,WF12
England,Kirklees 018C,WF128DZ,WF12
England,Wakefield 008B,WF12AW,WF12
England,Kirklees 014C,WF127RW,WF12
England,Kirklees 028D,WF120BX,WF12
England,Kirklees 028E,WF120QG,WF12
England,Wakefield 008D,WF12JY,WF12
England,Wakefield 008E,WF12NG,WF12
England,Wakefield 008E,WF12ER,WF12
England,Kirklees 024B,WF129LX,WF12
England,Wakefield 019C,WF12AG,WF12
England,Kirklees 028A,WF120NJ,WF12
England,Kirklees 024A,WF129AP,WF12
England,Kirklees 017B,WF127DL,WF12
England,Kirklees 024C,WF129PE,WF12
England,Kirklees 018D,WF128DE,WF12
England,Kirklees 018C,WF127AJ,WF12
England,Kirklees 024A,WF129PN,WF12
England,Kirklees 018E,WF128EU,WF12
England,Kirklees 024F,WF120SF,WF12
England,Kirklees 018C,WF127AG,WF12
England,Wakefield 019B,WF12RZ,WF12
England,Kirklees 018B,WF128NQ,WF12
England,Kirklees 023E,WF129EW,WF12
England,Kirklees 028D,WF120EB,WF12
England,Kirklees 024F,WF120LQ,WF12
England,Kirklees 028B,WF120EX,WF12
England,Kirklees 014A,WF127DX,WF12
England,Kirklees 014D,WF127QQ,WF12
England,Kirklees 024B,WF129NF,WF12
England,Kirklees 018C,WF127DJ,WF12
England,Kirklees 028E,WF120HU,WF12
England,Wakefield 008C,WF12NU,WF12
England,Kirklees 014C,WF127HR,WF12
England,Kirklees 024A,WF129AW,WF12
England,Wakefield 021A,WF128PZ,WF12
England,Kirklees 018D,WF128BD,WF12
England,Kirklees 014A,WF127HJ,WF12
England,Kirklees 024E,WF120AS,WF12
England,Kirklees 028A,WF120LP,WF12
England,Kirklees 019D,WF129QT,WF12
England,Kirklees 024F,WF120RQ,WF12
England,Kirklees 028D,WF120DP,WF12
England,Kirklees 024C,WF129HG,WF12
England,Kirklees 014D,WF127QF,WF12
England,Kirklees 024A,WF128XU,WF12
England,Wakefield 008B,WF12UB,WF12
England,Kirklees 024E,WF120AW,WF12
England,Kirklees 013D,WF127NE,WF12
England,Kirklees 024A,WF129LP,WF12
England,Kirklees 028E,WF120HB,WF12
England,Kirklees 014D,WF127ER,WF12
England,Kirklees 007A,WF127HY,WF12
England,Kirklees 014C,WF127SF,WF12
England,Kirklees 024B,WF129EZ,WF12
England,Wakefield 008B,WF12JP,WF12
England,Kirklees 014C,WF127SY,WF12
England,Kirklees 018B,WF128PG,WF12
England,Wakefield 019B,WF12RW,WF12
England,Kirklees 028D,WF120BS,WF12
England,Kirklees 024A,WF128WQ,WF12
England,Wakefield 008E,WF12PW,WF12
England,Kirklees 024B,WF129LU,WF12
