Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Wigan 018E,WN57DW,WN57
England,Wigan 018F,WN57DU,WN57
England,Wigan 018E,WN57AU,WN57
England,St. Helens 002B,WN57XR,WN57
England,St. Helens 002C,WN57QF,WN57
England,Wigan 018G,WN57EP,WN57
England,Wigan 018G,WN57JF,WN57
England,St. Helens 002A,WN57NN,WN57
England,St. Helens 002B,WN57LJ,WN57
England,Wigan 018C,WN57XB,WN57
England,Wigan 018F,WN57BX,WN57
England,Wigan 018C,WN57XE,WN57
England,St. Helens 002B,WN57LF,WN57
England,St. Helens 002A,WN57PW,WN57
England,St. Helens 002B,WN57LN,WN57
England,Wigan 018G,WN57JB,WN57
England,Wigan 018E,WN57DJ,WN57
England,St. Helens 002D,WN57SE,WN57
England,St. Helens 002C,WN57TS,WN57
England,St. Helens 002C,WN57PP,WN57
England,St. Helens 002A,WN57TJ,WN57
England,St. Helens 002B,WN57LX,WN57
England,St. Helens 002A,WN57PD,WN57
England,Wigan 018E,WN57EZ,WN57
England,St. Helens 002A,WN57PG,WN57
England,St. Helens 002B,WN57TB,WN57
England,St. Helens 002A,WN57NX,WN57
England,Wigan 018G,WN57JJ,WN57
England,Wigan 018F,WN57DF,WN57
England,St. Helens 002B,WN57HT,WN57
England,Wigan 018F,WN57DD,WN57
England,St. Helens 002B,WN57LT,WN57
England,Wigan 018G,WN57JS,WN57
England,Wigan 018G,WN57XS,WN57
England,Wigan 018F,WN57BH,WN57
England,Wigan 018F,WN57BQ,WN57
England,St. Helens 002A,WN57HD,WN57
England,Wigan 018F,WN57BZ,WN57
England,St. Helens 002C,WN57TF,WN57
England,St. Helens 002D,WN57TR,WN57
England,Wigan 018F,WN57EL,WN57
England,St. Helens 002C,WN57PQ,WN57
England,Wigan 018F,WN57DB,WN57
England,Wigan 018D,WN57AB,WN57
England,St. Helens 002C,WN57TH,WN57
England,St. Helens 002B,WN57NS,WN57
England,Wigan 018G,WN57XG,WN57
England,St. Helens 002B,WN57TD,WN57
England,St. Helens 002D,WN57SB,WN57
England,St. Helens 002A,WN57HF,WN57
England,St. Helens 002A,WN57NJ,WN57
England,Wigan 018E,WN57BL,WN57
England,St. Helens 002C,WN57UB,WN57
England,Wigan 018G,WN57EF,WN57
England,Wigan 018G,WN57JQ,WN57
England,Wigan 018E,WN57DR,WN57
England,St. Helens 002D,WN57RX,WN57
England,St. Helens 002D,WN57SF,WN57
England,Wigan 018D,WN57BD,WN57
England,Wigan 018E,WN57BN,WN57
England,St. Helens 002A,WN57LU,WN57
England,St. Helens 002B,WN57NR,WN57
England,Wigan 018E,WN57FP,WN57
England,St. Helens 002C,WN57PF,WN57
England,Wigan 018D,WN57AJ,WN57
England,St. Helens 002C,WN57TP,WN57
England,Wigan 018F,WN57EU,WN57
England,Wigan 018E,WN57EH,WN57
England,St. Helens 002B,WN57NT,WN57
England,St. Helens 002B,WN57HS,WN57
England,St. Helens 002A,WN57NL,WN57
England,St. Helens 002A,WN57PY,WN57
England,Wigan 018F,WN57BJ,WN57
England,Wigan 018E,WN57AG,WN57
England,Wigan 018E,WN57JZ,WN57
England,St. Helens 002C,WN57QE,WN57
England,Wigan 018D,WN57AN,WN57
England,St. Helens 002D,WN57SD,WN57
England,St. Helens 002C,WN57TL,WN57
England,St. Helens 002B,WN57NF,WN57
England,Wigan 018F,WN57DA,WN57
England,Wigan 018E,WN57AZ,WN57
England,St. Helens 002C,WN57TG,WN57
England,St. Helens 002A,WN57JA,WN57
England,St. Helens 002D,WN57QY,WN57
England,St. Helens 002A,WN57PS,WN57
England,St. Helens 002C,WN57QG,WN57
England,St. Helens 002C,WN57TQ,WN57
England,Wigan 018G,WN57EA,WN57
England,Wigan 018F,WN57EJ,WN57
England,Wigan 018D,WN57AR,WN57
England,Wigan 018G,WN57JW,WN57
England,Wigan 018E,WN57EQ,WN57
England,Wigan 018C,WN57XA,WN57
England,St. Helens 002D,WN57QR,WN57
England,Wigan 018E,WN57FQ,WN57
England,St. Helens 002A,WN57HA,WN57
England,West Lancashire 015D,WN57AL,WN57
England,Wigan 018E,WN57BU,WN57
England,Wigan 018F,WN57GE,WN57
England,Wigan 018G,WN57XX,WN57
England,St. Helens 002C,WN57PT,WN57
England,St. Helens 002B,WN57NE,WN57
England,St. Helens 002C,WN57PR,WN57
England,St. Helens 002A,WN57NP,WN57
England,Wigan 018G,WN57JP,WN57
England,Wigan 018D,WN57AD,WN57
England,St. Helens 002C,WN57QH,WN57
England,St. Helens 002D,WN57QU,WN57
England,St. Helens 002D,WN57TZ,WN57
England,Wigan 018F,WN57BP,WN57
England,Wigan 018E,WN57AX,WN57
England,Wigan 018G,WN57XZ,WN57
England,St. Helens 002D,WN57QL,WN57
England,Wigan 018F,WN57DG,WN57
England,St. Helens 002B,WN57LQ,WN57
England,Wigan 018G,WN57XL,WN57
England,Wigan 018E,WN57AT,WN57
England,Wigan 018E,WN57JY,WN57
England,St. Helens 002A,WN57PE,WN57
England,St. Helens 002C,WN57QS,WN57
England,Wigan 018C,WN57XD,WN57
England,Wigan 018F,WN57JU,WN57
England,St. Helens 002A,WN57HB,WN57
England,St. Helens 002A,WN57HR,WN57
England,St. Helens 002A,WN57HE,WN57
England,Wigan 018F,WN57GB,WN57
England,St. Helens 002B,WN57LB,WN57
England,St. Helens 002A,WN57UA,WN57
England,St. Helens 002D,WN57QX,WN57
England,St. Helens 002B,WN57LL,WN57
England,St. Helens 002B,WN57ND,WN57
England,St. Helens 002A,WN57PX,WN57
England,Wigan 018E,WN57ER,WN57
England,Wigan 018F,WN57DY,WN57
England,Wigan 018F,WN57EB,WN57
England,Wigan 018G,WN57EG,WN57
England,Wigan 018F,WN57EX,WN57
England,St. Helens 002C,WN57UE,WN57
England,Wigan 018E,WN57BA,WN57
England,St. Helens 002C,WN57QQ,WN57
England,Wigan 018G,WN57JN,WN57
England,St. Helens 002D,WN57TX,WN57
England,Wigan 018E,WN57AY,WN57
England,St. Helens 002A,WN57HQ,WN57
England,Wigan 018G,WN57JH,WN57
England,St. Helens 002D,WN57QW,WN57
England,Wigan 018F,WN57BY,WN57
England,St. Helens 002D,WN57RZ,WN57
England,St. Helens 002D,WN57QT,WN57
England,St. Helens 002A,WN57PZ,WN57
England,St. Helens 002D,WN57QJ,WN57
England,St. Helens 002B,WN57LD,WN57
England,Wigan 018G,WN57JL,WN57
England,St. Helens 002C,WN57NZ,WN57
England,Wigan 018F,WN57EN,WN57
England,St. Helens 002D,WN57QN,WN57
England,Wigan 018F,WN57BE,WN57
England,Wigan 018E,WN57AE,WN57
England,St. Helens 002A,WN57LZ,WN57
England,St. Helens 002B,WN57LH,WN57
England,Wigan 018F,WN57BS,WN57
England,Wigan 018F,WN57BT,WN57
England,Wigan 018F,WN57DE,WN57
England,Wigan 018G,WN57DX,WN57
England,St. Helens 002A,WN57LY,WN57
England,St. Helens 002D,WN57RY,WN57
England,St. Helens 002A,WN57BW,WN57
England,St. Helens 002B,WN57HU,WN57
England,St. Helens 002B,WN57TA,WN57
England,St. Helens 002A,WN57LR,WN57
England,St. Helens 002C,WN57TE,WN57
England,Wigan 018E,WN57AF,WN57
England,St. Helens 002B,WN57LS,WN57
England,Wigan 018C,WN57XH,WN57
England,Wigan 018E,WN57DH,WN57
England,Wigan 018F,WN57JX,WN57
England,Wigan 018G,WN57GA,WN57
England,St. Helens 002A,WN57NH,WN57
England,St. Helens 002C,WN57TW,WN57
England,Wigan 018E,WN57EY,WN57
England,Wigan 018G,WN57JR,WN57
England,St. Helens 002A,WN57NU,WN57
England,Wigan 018D,WN57AH,WN57
England,St. Helens 002A,WN57PN,WN57
England,Wigan 018G,WN57JE,WN57
England,St. Helens 002C,WN57TN,WN57
England,St. Helens 002C,WN57QA,WN57
England,St. Helens 002D,WN57TY,WN57
England,West Lancashire 015D,WN57AW,WN57
England,St. Helens 002C,WN57UD,WN57
England,Wigan 018G,WN57YB,WN57
England,St. Helens 002C,WN57PJ,WN57
England,St. Helens 002C,WN57QD,WN57
England,Wigan 018G,WN57JT,WN57
England,Wigan 018G,WN57JD,WN57
England,St. Helens 002D,WN57TU,WN57
England,Wigan 018F,WN57GL,WN57
England,St. Helens 002B,WN57LP,WN57
England,St. Helens 002B,WN57LE,WN57
England,Wigan 018E,WN57DN,WN57
England,St. Helens 002C,WN57QZ,WN57
England,St. Helens 002D,WN57SA,WN57
England,Wigan 018G,WN57DZ,WN57
England,St. Helens 002C,WN57NY,WN57
England,St. Helens 002B,WN57NB,WN57
England,Wigan 018F,WN57DL,WN57
England,St. Helens 002C,WN57PB,WN57
England,St. Helens 002C,WN57PL,WN57
England,St. Helens 002B,WN57LA,WN57
England,Wigan 018G,WN57JG,WN57
England,St. Helens 002B,WN57LG,WN57
England,St. Helens 002A,WN57PU,WN57
England,St. Helens 002A,WN57PA,WN57
England,St. Helens 002A,WN57NG,WN57
England,Wigan 018F,WN57BG,WN57
England,Wigan 018E,WN57DP,WN57
England,Wigan 018F,WN57DS,WN57
England,Wigan 018G,WN57HZ,WN57
England,Wigan 018F,WN57BB,WN57
England,St. Helens 002C,WN57TT,WN57
England,Wigan 018F,WN57BF,WN57
England,St. Helens 002A,WN57HY,WN57
England,Wigan 018G,WN57ED,WN57
England,Wigan 018C,WN57XF,WN57
England,Wigan 018C,WN57XN,WN57
England,Wigan 018E,WN57AS,WN57
England,Wigan 018F,WN57DT,WN57
England,St. Helens 002A,WN57NW,WN57
England,Wigan 018G,WN57EW,WN57
England,Wigan 018D,WN57AA,WN57
England,St. Helens 002D,WN57QP,WN57
England,Wigan 018C,WN57AP,WN57
England,Wigan 018F,WN57DQ,WN57
