Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Wyre Forest 010D,WV981ZF,WV98
England,Wyre Forest 010C,WV981JQ,WV98
England,Wyre Forest 010D,WV981YW,WV98
England,Wyre Forest 010D,WV981YJ,WV98
England,Wyre Forest 010D,WV981EE,WV98
England,Wyre Forest 010D,WV981XA,WV98
England,Wolverhampton 013A,WV981AN,WV98
England,Wolverhampton 013A,WV981BN,WV98
England,Wyre Forest 010D,WV981WE,WV98
England,Wyre Forest 010C,WV981LB,WV98
England,Wyre Forest 010D,WV981FT,WV98
England,Wyre Forest 010D,WV981EQ,WV98
England,Wyre Forest 010C,WV981NZ,WV98
England,Wyre Forest 010C,WV981RJ,WV98
England,Wolverhampton 013A,WV981AJ,WV98
England,Wyre Forest 010C,WV981RB,WV98
England,Wolverhampton 013A,WV981AF,WV98
England,Wolverhampton 013A,WV981BD,WV98
England,Wyre Forest 010C,WV981NG,WV98
England,Wyre Forest 010D,WV981WT,WV98
England,Wyre Forest 010D,WV981ZH,WV98
England,Wyre Forest 010C,WV981RR,WV98
England,Wyre Forest 010D,WV981TX,WV98
England,Wolverhampton 013A,WV981BJ,WV98
England,Wolverhampton 013A,WV981DB,WV98
England,Wolverhampton 013A,WV981SU,WV98
England,Wyre Forest 010D,WV981TG,WV98
England,Wyre Forest 010D,WV981EL,WV98
England,Wyre Forest 010C,WV981NJ,WV98
England,Wyre Forest 010C,WV981NT,WV98
England,Wyre Forest 010D,WV981FH,WV98
England,Wolverhampton 013A,WV981BY,WV98
England,Wyre Forest 010D,WV981UP,WV98
England,Wyre Forest 010D,WV981TD,WV98
England,Wyre Forest 010D,WV981XF,WV98
England,Wyre Forest 010C,WV981HZ,WV98
England,Wyre Forest 010C,WV981NP,WV98
England,Wolverhampton 013A,WV981AB,WV98
England,Wyre Forest 010D,WV981UE,WV98
England,Wyre Forest 010C,WV981QF,WV98
England,Wyre Forest 010C,WV981RU,WV98
England,Wyre Forest 010C,WV981PT,WV98
England,Wyre Forest 010D,WV981YQ,WV98
England,Wolverhampton 013A,WV981AH,WV98
England,Wyre Forest 010C,WV981LE,WV98
England,Wyre Forest 010C,WV981GS,WV98
England,Wyre Forest 010D,WV981ER,WV98
England,Wyre Forest 010D,WV981XP,WV98
England,Wyre Forest 010D,WV981XL,WV98
England,Wyre Forest 010C,WV981ZY,WV98
England,Wyre Forest 010D,WV981WP,WV98
England,Wyre Forest 010D,WV981EW,WV98
England,Wyre Forest 010D,WV981XR,WV98
England,Wyre Forest 010D,WV981EN,WV98
England,Wyre Forest 010C,WV981JY,WV98
England,Wyre Forest 010C,WV981LZ,WV98
England,Wyre Forest 010D,WV981FA,WV98
England,Wyre Forest 010D,WV981UG,WV98
England,Wyre Forest 010D,WV981TR,WV98
England,Wyre Forest 010C,WV981GX,WV98
England,Wyre Forest 010C,WV981HL,WV98
England,Wyre Forest 010D,WV981XZ,WV98
England,Wyre Forest 010C,WV981NH,WV98
