Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Harrogate 005D,YO519BW,YO51
England,Harrogate 005A,YO519EY,YO51
England,Harrogate 005B,YO519UU,YO51
England,Harrogate 005C,YO519QF,YO51
England,Harrogate 005D,YO519DB,YO51
England,Harrogate 005B,YO519EN,YO51
England,Harrogate 005D,YO519DJ,YO51
England,Harrogate 005C,YO519JQ,YO51
England,Harrogate 005D,YO519DR,YO51
England,Harrogate 005D,YO519DU,YO51
England,Harrogate 005B,YO519XD,YO51
England,Harrogate 005D,YO519HJ,YO51
England,Harrogate 003B,YO519NR,YO51
England,Harrogate 005A,YO519HA,YO51
England,Harrogate 005C,YO519QR,YO51
England,Harrogate 005D,YO519DT,YO51
England,Harrogate 005C,YO519HZ,YO51
England,Harrogate 005C,YO519JG,YO51
England,Harrogate 005B,YO519AH,YO51
England,Harrogate 005B,YO519NT,YO51
England,Harrogate 005B,YO519AW,YO51
England,Harrogate 005C,YO519JB,YO51
England,Harrogate 005B,YO519AN,YO51
England,Harrogate 005A,YO519HL,YO51
England,Harrogate 005D,YO519HH,YO51
England,Harrogate 005D,YO519DN,YO51
England,Harrogate 005C,YO519PY,YO51
England,Harrogate 005B,YO519LJ,YO51
England,Harrogate 005B,YO519XU,YO51
England,Harrogate 005B,YO519UY,YO51
England,Harrogate 003B,YO519ND,YO51
England,Harrogate 005C,YO519QL,YO51
England,Harrogate 005A,YO519EP,YO51
England,Harrogate 005A,YO519EG,YO51
England,Harrogate 005B,YO519NZ,YO51
England,Harrogate 005A,YO519JH,YO51
England,Harrogate 005C,YO519JE,YO51
England,Harrogate 005D,YO519BG,YO51
England,Harrogate 005B,YO519WD,YO51
England,Harrogate 003B,YO519NN,YO51
England,Harrogate 005C,YO519JZ,YO51
England,Harrogate 005A,YO519JW,YO51
England,Harrogate 005B,YO519AT,YO51
England,Harrogate 005B,YO519NP,YO51
England,Harrogate 005A,YO519HG,YO51
England,Harrogate 005B,YO519EJ,YO51
England,Harrogate 005A,YO519NW,YO51
England,Harrogate 005B,YO519AR,YO51
England,Harrogate 005B,YO519NF,YO51
England,Harrogate 005B,YO519LW,YO51
England,Harrogate 005C,YO519JF,YO51
England,Harrogate 005B,YO519LQ,YO51
England,Harrogate 005B,YO519YU,YO51
England,Harrogate 003B,YO519NG,YO51
England,Harrogate 003B,YO519NH,YO51
England,Harrogate 005D,YO519BJ,YO51
England,Harrogate 005B,YO519GL,YO51
England,Harrogate 005C,YO519QP,YO51
England,Harrogate 005D,YO519BE,YO51
England,Harrogate 005C,YO519PP,YO51
England,Harrogate 005B,YO519NJ,YO51
England,Harrogate 005C,YO519QQ,YO51
England,Harrogate 005C,YO519QD,YO51
England,Harrogate 005D,YO519BN,YO51
England,Harrogate 005A,YO519HT,YO51
England,Harrogate 005D,YO519JR,YO51
England,Harrogate 005C,YO519QZ,YO51
England,Harrogate 005C,YO519PT,YO51
England,Harrogate 005C,YO519PR,YO51
England,Harrogate 005A,YO519PF,YO51
England,Harrogate 005B,YO519AG,YO51
England,Harrogate 005B,YO519AQ,YO51
England,Harrogate 005C,YO519JN,YO51
England,Harrogate 003B,YO519NS,YO51
England,Harrogate 005B,YO519AX,YO51
England,Harrogate 005A,YO519UT,YO51
England,Harrogate 005C,YO519QE,YO51
England,Harrogate 005B,YO519GJ,YO51
England,Harrogate 005D,YO519DF,YO51
England,Harrogate 005C,YO519JL,YO51
England,Harrogate 005B,YO519HR,YO51
England,Harrogate 005D,YO519BQ,YO51
England,Harrogate 005B,YO519LA,YO51
England,Harrogate 005A,YO519ET,YO51
England,Harrogate 005B,YO519GN,YO51
England,Harrogate 003B,YO519LY,YO51
England,Harrogate 003B,YO519FS,YO51
England,Harrogate 005B,YO519EH,YO51
England,Harrogate 005B,YO519AF,YO51
England,Harrogate 005A,YO519EL,YO51
England,Harrogate 005A,YO519HU,YO51
England,Harrogate 005A,YO519HB,YO51
England,Harrogate 005A,YO519UZ,YO51
England,Harrogate 005D,YO519DQ,YO51
England,Harrogate 005A,YO519HN,YO51
England,Harrogate 005A,YO519HD,YO51
England,Harrogate 005D,YO519DW,YO51
England,Harrogate 005B,YO519AZ,YO51
England,Harrogate 005B,YO519GH,YO51
England,Harrogate 003B,YO519NB,YO51
England,Harrogate 005A,YO519ER,YO51
England,Harrogate 005D,YO519GD,YO51
England,Harrogate 005C,YO519PZ,YO51
England,Harrogate 005D,YO519BF,YO51
England,Harrogate 005A,YO519PE,YO51
England,Harrogate 005D,YO519YB,YO51
England,Harrogate 005A,YO519ES,YO51
England,Harrogate 005C,YO519JA,YO51
England,Harrogate 005C,YO519PS,YO51
England,Harrogate 005C,YO519QJ,YO51
England,Harrogate 005B,YO519BB,YO51
England,Harrogate 005A,YO519EE,YO51
England,Harrogate 003B,YO519NQ,YO51
England,Harrogate 005C,YO519JD,YO51
England,Harrogate 005B,YO519AY,YO51
England,Harrogate 005C,YO519QX,YO51
England,Harrogate 005C,YO519QW,YO51
England,Harrogate 005A,YO519NY,YO51
England,Harrogate 005B,YO519AS,YO51
England,Harrogate 005A,YO519JJ,YO51
England,Harrogate 005C,YO519QA,YO51
England,Harrogate 005A,YO519UX,YO51
England,Harrogate 005A,YO519HF,YO51
England,Harrogate 005A,YO519HE,YO51
England,Harrogate 005B,YO519PG,YO51
England,Harrogate 005D,YO519FF,YO51
England,Harrogate 005A,YO519UR,YO51
England,Harrogate 005B,YO519AD,YO51
England,Harrogate 005D,YO519DL,YO51
England,Harrogate 005B,YO519NU,YO51
England,Harrogate 005B,YO519WB,YO51
England,Harrogate 005A,YO519FG,YO51
England,Harrogate 005B,YO519AB,YO51
England,Harrogate 005B,YO519BR,YO51
England,Harrogate 005D,YO519BU,YO51
England,Harrogate 005B,YO519LH,YO51
England,Harrogate 005A,YO519JX,YO51
England,Harrogate 005C,YO519HY,YO51
England,Harrogate 005D,YO519GB,YO51
England,Harrogate 005D,YO519GA,YO51
England,Harrogate 005B,YO519EA,YO51
England,Harrogate 005D,YO519DS,YO51
England,Harrogate 005B,YO519HP,YO51
England,Harrogate 005A,YO519AU,YO51
England,Harrogate 005D,YO519JU,YO51
England,Harrogate 005D,YO519BZ,YO51
England,Harrogate 005A,YO519HW,YO51
England,Harrogate 005C,YO519PU,YO51
England,Harrogate 005D,YO519DG,YO51
England,Harrogate 005B,YO519AL,YO51
England,Harrogate 005C,YO519QS,YO51
England,Harrogate 005A,YO519JT,YO51
England,Harrogate 005D,YO519BL,YO51
England,Harrogate 005D,YO519DX,YO51
England,Harrogate 005B,YO519PQ,YO51
England,Harrogate 005A,YO519EU,YO51
England,Harrogate 003B,YO519LS,YO51
England,Harrogate 005A,YO519US,YO51
England,Harrogate 005D,YO519GE,YO51
England,Harrogate 005D,YO519NL,YO51
England,Harrogate 003B,YO519LZ,YO51
England,Harrogate 005A,YO519EQ,YO51
England,Harrogate 003B,YO519DP,YO51
England,Harrogate 005B,YO519LP,YO51
England,Harrogate 005D,YO519DD,YO51
England,Harrogate 005A,YO519EW,YO51
England,Harrogate 005D,YO519JP,YO51
England,Harrogate 005B,YO519LF,YO51
England,Harrogate 005D,YO519YA,YO51
England,Harrogate 005A,YO519EF,YO51
England,Harrogate 005A,YO519ED,YO51
England,Harrogate 005C,YO519QG,YO51
