"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"E09000033","Westminster","E01004649","Westminster 001B",1070000
"E09000033","Westminster","E01004648","Westminster 002B",835000
"E09000033","Westminster","E01004651","Westminster 003A",605000
"E09000033","Westminster","E01004647","Westminster 001A",2575000
"E09000033","Westminster","E01004650","Westminster 002C",1040000
"E09000033","Westminster","E01004646","Westminster 002A",3185000
"E09000033","Westminster","E01033607","Westminster 014G",750000
"E09000033","Westminster","E01033606","Westminster 014F",871000
"E09000033","Westminster","E01004652","Westminster 017A",820000
"E09000033","Westminster","E01004656","Westminster 014D",750000
"E09000033","Westminster","E01004654","Westminster 014B",1350000
"E09000033","Westminster","E01004653","Westminster 014A",1715000
"E09000033","Westminster","E01004662","Westminster 012D",1140000
"E09000033","Westminster","E01004661","Westminster 012C",850000
"E09000033","Westminster","E01004657","Westminster 012A",2150000
"E09000033","Westminster","E01004663","Westminster 012E",1500000
"E09000033","Westminster","E01004658","Westminster 012B",560000
"E09000033","Westminster","E01004659","Westminster 008A",7e+05
"E09000033","Westminster","E01004660","Westminster 008B",1405000
"E09000033","Westminster","E01004667","Westminster 023C",802500
"E09000033","Westminster","E01004666","Westminster 023B",1321425
"E09000033","Westminster","E01033599","Westminster 023G",202000
"E09000033","Westminster","E01004668","Westminster 023D",524000
"E09000033","Westminster","E01004669","Westminster 024B",568556
"E09000033","Westminster","E01033597","Westminster 023F",802500
"E09000033","Westminster","E01004665","Westminster 024A",NA
"E09000033","Westminster","E01004670","Westminster 009A",NA
"E09000033","Westminster","E01033605","Westminster 009K",NA
"E09000033","Westminster","E01033601","Westminster 009G",NA
"E09000033","Westminster","E01033602","Westminster 009H",NA
"E09000033","Westminster","E01033603","Westminster 009I",837500
"E09000033","Westminster","E01033604","Westminster 009J",6e+05
"E09000033","Westminster","E01004674","Westminster 005A",817500
"E09000033","Westminster","E01004677","Westminster 005C",610000
"E09000033","Westminster","E01004678","Westminster 005D",505000
"E09000033","Westminster","E01004679","Westminster 005E",507500
"E09000033","Westminster","E01004675","Westminster 005B",531000
"E09000033","Westminster","E01004676","Westminster 006A",6e+05
"E09000033","Westminster","E01004686","Westminster 015E",7e+05
"E09000033","Westminster","E01004682","Westminster 016B",1008500
"E09000033","Westminster","E01033593","Westminster 015F",1396250
"E09000033","Westminster","E01004681","Westminster 016A",770000
"E09000033","Westminster","E01004683","Westminster 015B",1862500
"E09000033","Westminster","E01004680","Westminster 015A",675000
"E09000033","Westminster","E01033594","Westminster 015G",1312500
"E09000033","Westminster","E01004684","Westminster 015C",930000
"E09000033","Westminster","E01004691","Westminster 019E",3975000
"E09000033","Westminster","E01004687","Westminster 019A",2145000
"E09000033","Westminster","E01004690","Westminster 019D",3350000
"E09000033","Westminster","E01004692","Westminster 019F",1900000
"E09000033","Westminster","E01004689","Westminster 019C",3775000
"E09000033","Westminster","E01004688","Westminster 019B",1460000
"E09000033","Westminster","E01004693","Westminster 017B",1450000
"E09000033","Westminster","E01004696","Westminster 017D",520500
"E09000033","Westminster","E01004700","Westminster 016E",1350000
"E09000033","Westminster","E01004698","Westminster 017E",1070000
"E09000033","Westminster","E01004695","Westminster 017C",670000
"E09000033","Westminster","E01004694","Westminster 016C",900500
"E09000033","Westminster","E01004697","Westminster 016D",850000
"E09000033","Westminster","E01004699","Westminster 017F",1020000
"E09000033","Westminster","E01033600","Westminster 007F",665000
"E09000033","Westminster","E01004703","Westminster 007B",1625000
"E09000033","Westminster","E01033608","Westminster 007G",962500
"E09000033","Westminster","E01004705","Westminster 007D",830000
"E09000033","Westminster","E01004702","Westminster 009E",515000
"E09000033","Westminster","E01004701","Westminster 007A",850000
"E09000033","Westminster","E01004710","Westminster 002D",NA
"E09000033","Westminster","E01004709","Westminster 007E",1020000
"E09000033","Westminster","E01004706","Westminster 006B",860000
"E09000033","Westminster","E01004708","Westminster 006D",572500
"E09000033","Westminster","E01004707","Westminster 006C",1020000
"E09000033","Westminster","E01004711","Westminster 002E",580000
"E09000033","Westminster","E01004716","Westminster 011C",4712500
"E09000033","Westminster","E01004715","Westminster 013A",1257500
"E09000033","Westminster","E01004712","Westminster 008C",2107500
"E09000033","Westminster","E01004713","Westminster 011A",1400000
"E09000033","Westminster","E01004717","Westminster 011D",1100000
"E09000033","Westminster","E01004714","Westminster 011B",1750000
"E09000033","Westminster","E01004718","Westminster 004A",527500
"E09000033","Westminster","E01004722","Westminster 004E",6e+05
"E09000033","Westminster","E01004719","Westminster 004B",7e+05
"E09000033","Westminster","E01004720","Westminster 004C",8e+05
"E09000033","Westminster","E01004723","Westminster 005F",540500
"E09000033","Westminster","E01004721","Westminster 004D",755000
"E09000033","Westminster","E01004730","Westminster 001D",1900000
"E09000033","Westminster","E01004724","Westminster 001C",570000
