LA_code,LA_name,LSOA_code,LSOA_name,house_price
W06000015,Cardiff,W01001694,Cardiff 036A,150975
W06000015,Cardiff,W01001697,Cardiff 036D,150000
W06000015,Cardiff,W01001696,Cardiff 036C,132000
W06000015,Cardiff,W01001695,Cardiff 036B,125000
W06000015,Cardiff,W01001698,Cardiff 036E,144000
W06000015,Cardiff,W01001942,Cardiff 049B,155500
W06000015,Cardiff,W01001951,Cardiff 049E,170000
W06000015,Cardiff,W01001952,Cardiff 049F,141500
W06000015,Cardiff,W01001699,Cardiff 049A,131250
W06000015,Cardiff,W01001705,Cardiff 045C,127000
W06000015,Cardiff,W01001702,Cardiff 045A,179975
W06000015,Cardiff,W01001706,Cardiff 041B,146000
W06000015,Cardiff,W01001707,Cardiff 041C,143500
W06000015,Cardiff,W01001708,Cardiff 045D,118750
W06000015,Cardiff,W01001704,Cardiff 041A,118750
W06000015,Cardiff,W01001703,Cardiff 045B,138250
W06000015,Cardiff,W01001716,Cardiff 035C,197475
W06000015,Cardiff,W01001712,Cardiff 040D,240000
W06000015,Cardiff,W01001717,Cardiff 035D,217500
W06000015,Cardiff,W01001714,Cardiff 035A,334000
W06000015,Cardiff,W01001709,Cardiff 040A,190000
W06000015,Cardiff,W01001711,Cardiff 040C,189500
W06000015,Cardiff,W01001710,Cardiff 040B,232000
W06000015,Cardiff,W01001713,Cardiff 040E,185000
W06000015,Cardiff,W01001715,Cardiff 035B,292500
W06000015,Cardiff,W01001722,Cardiff 028D,182000
W06000015,Cardiff,W01001720,Cardiff 028C,198500
W06000015,Cardiff,W01001725,Cardiff 032D,NA
W06000015,Cardiff,W01001726,Cardiff 028E,233250
W06000015,Cardiff,W01001724,Cardiff 032C,185000
W06000015,Cardiff,W01001721,Cardiff 032A,196750
W06000015,Cardiff,W01001922,Cardiff 032E,NA
W06000015,Cardiff,W01001718,Cardiff 028A,175000
W06000015,Cardiff,W01001719,Cardiff 028B,225000
W06000015,Cardiff,W01001728,Cardiff 014B,365000
W06000015,Cardiff,W01001727,Cardiff 014A,220000
W06000015,Cardiff,W01001729,Cardiff 014C,285000
W06000015,Cardiff,W01001730,Cardiff 008A,425000
W06000015,Cardiff,W01001736,Cardiff 008C,325000
W06000015,Cardiff,W01001731,Cardiff 008B,433750
W06000015,Cardiff,W01001732,Cardiff 019A,383500
W06000015,Cardiff,W01001733,Cardiff 019B,305000
W06000015,Cardiff,W01001734,Cardiff 019C,450000
W06000015,Cardiff,W01001735,Cardiff 019D,326500
W06000015,Cardiff,W01001740,Cardiff 039D,113500
W06000015,Cardiff,W01001742,Cardiff 043A,132000
W06000015,Cardiff,W01001743,Cardiff 043B,180000
W06000015,Cardiff,W01001745,Cardiff 043D,165000
W06000015,Cardiff,W01001738,Cardiff 039B,115500
W06000015,Cardiff,W01001744,Cardiff 043C,109475
W06000015,Cardiff,W01001737,Cardiff 039A,131500
W06000015,Cardiff,W01001746,Cardiff 041D,116500
W06000015,Cardiff,W01001739,Cardiff 039C,114950
W06000015,Cardiff,W01001741,Cardiff 039E,101000
W06000015,Cardiff,W01001748,Cardiff 027B,170500
W06000015,Cardiff,W01001747,Cardiff 027A,168000
W06000015,Cardiff,W01001751,Cardiff 027D,132000
W06000015,Cardiff,W01001753,Cardiff 031C,113000
W06000015,Cardiff,W01001752,Cardiff 031B,204750
W06000015,Cardiff,W01001750,Cardiff 031A,155000
W06000015,Cardiff,W01001749,Cardiff 027C,140000
W06000015,Cardiff,W01001754,Cardiff 031D,172750
W06000015,Cardiff,W01001756,Cardiff 025B,162500
W06000015,Cardiff,W01001758,Cardiff 025D,240000
W06000015,Cardiff,W01001755,Cardiff 025A,247500
W06000015,Cardiff,W01001757,Cardiff 025C,230000
W06000015,Cardiff,W01001760,Cardiff 046B,187000
W06000015,Cardiff,W01001762,Cardiff 046D,157750
W06000015,Cardiff,W01001946,Cardiff 049C,121250
W06000015,Cardiff,W01001947,Cardiff 048E,149500
W06000015,Cardiff,W01001759,Cardiff 046A,170000
W06000015,Cardiff,W01001767,Cardiff 044D,146950
W06000015,Cardiff,W01001765,Cardiff 044B,190000
W06000015,Cardiff,W01001768,Cardiff 044E,180000
