"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"E06000018","Nottingham","E01013814","Nottingham 022B",122500
"E06000018","Nottingham","E01013815","Nottingham 022C",115000
"E06000018","Nottingham","E01013813","Nottingham 022A",NA
"E06000018","Nottingham","E01013816","Nottingham 022D",92275
"E06000018","Nottingham","E01013810","Nottingham 018A",84000
"E06000018","Nottingham","E01013811","Nottingham 018B",107000
"E06000018","Nottingham","E01013812","Nottingham 018C",89750
"E06000018","Nottingham","E01013821","Nottingham 013C",105000
"E06000018","Nottingham","E01013819","Nottingham 013A",99000
"E06000018","Nottingham","E01013826","Nottingham 011E",95000
"E06000018","Nottingham","E01013825","Nottingham 011D",105000
"E06000018","Nottingham","E01013817","Nottingham 011A",82000
"E06000018","Nottingham","E01013818","Nottingham 011B",97000
"E06000018","Nottingham","E01013820","Nottingham 013B",92500
"E06000018","Nottingham","E01013822","Nottingham 011C",87750
"E06000018","Nottingham","E01013823","Nottingham 013D",103500
"E06000018","Nottingham","E01013824","Nottingham 013E",91000
"E06000018","Nottingham","E01013835","Nottingham 008D",126500
"E06000018","Nottingham","E01013836","Nottingham 008E",95500
"E06000018","Nottingham","E01013831","Nottingham 009C",146500
"E06000018","Nottingham","E01013828","Nottingham 008B",124000
"E06000018","Nottingham","E01013827","Nottingham 008A",106000
"E06000018","Nottingham","E01013830","Nottingham 009B",142250
"E06000018","Nottingham","E01013834","Nottingham 008C",125000
"E06000018","Nottingham","E01013829","Nottingham 009A",116000
"E06000018","Nottingham","E01013832","Nottingham 009D",125000
"E06000018","Nottingham","E01013833","Nottingham 009E",102500
"E06000018","Nottingham","E01013838","Nottingham 012B",155000
"E06000018","Nottingham","E01013840","Nottingham 012D",139000
"E06000018","Nottingham","E01013839","Nottingham 012C",90000
"E06000018","Nottingham","E01013843","Nottingham 017A",122500
"E06000018","Nottingham","E01013841","Nottingham 012E",98000
"E06000018","Nottingham","E01013844","Nottingham 017B",90500
"E06000018","Nottingham","E01013842","Nottingham 018D",87750
"E06000018","Nottingham","E01013847","Nottingham 017D",113500
"E06000018","Nottingham","E01013845","Nottingham 017C",85500
"E06000018","Nottingham","E01013846","Nottingham 018E",82500
"E06000018","Nottingham","E01013837","Nottingham 012A",169950
"E06000018","Nottingham","E01032621","Nottingham 038E",120250
"E06000018","Nottingham","E01013852","Nottingham 038D",122500
"E06000018","Nottingham","E01013850","Nottingham 038B",110500
"E06000018","Nottingham","E01013854","Nottingham 006B",110000
"E06000018","Nottingham","E01013855","Nottingham 006C",83000
"E06000018","Nottingham","E01013856","Nottingham 006D",105000
"E06000018","Nottingham","E01033397","Nottingham 006F",117500
"E06000018","Nottingham","E01033398","Nottingham 006G",125000
"E06000018","Nottingham","E01013851","Nottingham 038C",79000
"E06000018","Nottingham","E01013849","Nottingham 038A",88000
"E06000018","Nottingham","E01013853","Nottingham 006A",124500
"E06000018","Nottingham","E01013866","Nottingham 014C",117000
"E06000018","Nottingham","E01013858","Nottingham 025A",107000
"E06000018","Nottingham","E01013868","Nottingham 020C",88000
"E06000018","Nottingham","E01013861","Nottingham 020B",85000
"E06000018","Nottingham","E01013860","Nottingham 025B",120000
"E06000018","Nottingham","E01013859","Nottingham 020A",120000
"E06000018","Nottingham","E01013863","Nottingham 025D",146000
"E06000018","Nottingham","E01013862","Nottingham 025C",125000
"E06000018","Nottingham","E01013864","Nottingham 014A",234495
"E06000018","Nottingham","E01013865","Nottingham 014B",95250
"E06000018","Nottingham","E01013867","Nottingham 014D",87500
"E06000018","Nottingham","E01013872","Nottingham 040C",122000
"E06000018","Nottingham","E01013874","Nottingham 039A",145100
"E06000018","Nottingham","E01013871","Nottingham 040B",95000
"E06000018","Nottingham","E01013870","Nottingham 040A",136750
"E06000018","Nottingham","E01013873","Nottingham 040D",130000
"E06000018","Nottingham","E01033400","Nottingham 039B",145500
"E06000018","Nottingham","E01013880","Nottingham 002B",92250
"E06000018","Nottingham","E01013885","Nottingham 002E",82000
"E06000018","Nottingham","E01013877","Nottingham 005C",78250
"E06000018","Nottingham","E01013875","Nottingham 005A",137500
"E06000018","Nottingham","E01013881","Nottingham 002C",91000
"E06000018","Nottingham","E01013879","Nottingham 002A",88000
"E06000018","Nottingham","E01013882","Nottingham 002D",95500
"E06000018","Nottingham","E01013883","Nottingham 005E",105000
"E06000018","Nottingham","E01013884","Nottingham 005F",92750
"E06000018","Nottingham","E01013878","Nottingham 005D",135000
"E06000018","Nottingham","E01013876","Nottingham 005B",135000
"E06000018","Nottingham","E01013889","Nottingham 004C",141500
"E06000018","Nottingham","E01013890","Nottingham 004D",101975
"E06000018","Nottingham","E01013888","Nottingham 004B",117500
"E06000018","Nottingham","E01013891","Nottingham 004E",97500
"E06000018","Nottingham","E01013892","Nottingham 001B",176000
"E06000018","Nottingham","E01013893","Nottingham 001C",1e+05
"E06000018","Nottingham","E01013886","Nottingham 004A",1e+05
"E06000018","Nottingham","E01013887","Nottingham 001A",181500
"E06000018","Nottingham","E01013894","Nottingham 001D",162000
"E06000018","Nottingham","E01013903","Nottingham 035E",143500
"E06000018","Nottingham","E01013896","Nottingham 034B",130000
"E06000018","Nottingham","E01013897","Nottingham 035A",128250
"E06000018","Nottingham","E01013899","Nottingham 035C",130000
"E06000018","Nottingham","E01013901","Nottingham 034C",250000
"E06000018","Nottingham","E01013902","Nottingham 034D",225000
"E06000018","Nottingham","E01013895","Nottingham 034A",195000
"E06000018","Nottingham","E01013898","Nottingham 035B",128000
"E06000018","Nottingham","E01013900","Nottingham 035D",115000
"E06000018","Nottingham","E01013911","Nottingham 037D",123500
"E06000018","Nottingham","E01013910","Nottingham 037C",130000
"E06000018","Nottingham","E01013908","Nottingham 036B",112625
"E06000018","Nottingham","E01013909","Nottingham 036C",128000
"E06000018","Nottingham","E01013906","Nottingham 037B",118000
"E06000018","Nottingham","E01013907","Nottingham 035F",128000
"E06000018","Nottingham","E01013905","Nottingham 036A",134000
"E06000018","Nottingham","E01013904","Nottingham 037A",125000
"E06000018","Nottingham","E01013912","Nottingham 036D",165000
"E06000018","Nottingham","E01013916","Nottingham 024D",106500
"E06000018","Nottingham","E01013917","Nottingham 024E",114250
"E06000018","Nottingham","E01013915","Nottingham 024C",152500
"E06000018","Nottingham","E01013921","Nottingham 029D",83225
"E06000018","Nottingham","E01013914","Nottingham 024B",162500
"E06000018","Nottingham","E01013913","Nottingham 024A",174250
"E06000018","Nottingham","E01013918","Nottingham 029A",92250
"E06000018","Nottingham","E01013920","Nottingham 029C",225000
"E06000018","Nottingham","E01013919","Nottingham 029B",108500
"E06000018","Nottingham","E01033410","Nottingham 031I",119750
"E06000018","Nottingham","E01033408","Nottingham 031H",205000
"E06000018","Nottingham","E01013926","Nottingham 031E",207000
"E06000018","Nottingham","E01013924","Nottingham 031C",NA
"E06000018","Nottingham","E01013928","Nottingham 031G",134000
"E06000018","Nottingham","E01013932","Nottingham 019C",2e+05
"E06000018","Nottingham","E01013933","Nottingham 019D",117750
"E06000018","Nottingham","E01013929","Nottingham 020D",144250
"E06000018","Nottingham","E01013931","Nottingham 019B",193998
"E06000018","Nottingham","E01013934","Nottingham 019E",126250
"E06000018","Nottingham","E01013930","Nottingham 019A",115000
"E06000018","Nottingham","E01013937","Nottingham 015A",187000
"E06000018","Nottingham","E01013938","Nottingham 015B",250000
"E06000018","Nottingham","E01013943","Nottingham 015D",166000
"E06000018","Nottingham","E01013940","Nottingham 016C",110000
"E06000018","Nottingham","E01013939","Nottingham 016B",127500
"E06000018","Nottingham","E01013942","Nottingham 016D",97475
"E06000018","Nottingham","E01013941","Nottingham 015C",167500
"E06000018","Nottingham","E01013935","Nottingham 010A",172500
"E06000018","Nottingham","E01013936","Nottingham 016A",125250
"E06000018","Nottingham","E01032522","Nottingham 028F",230000
"E06000018","Nottingham","E01013944","Nottingham 026A",1e+05
"E06000018","Nottingham","E01013945","Nottingham 026B",102500
"E06000018","Nottingham","E01013947","Nottingham 026D",75000
"E06000018","Nottingham","E01033404","Nottingham 028G",120000
"E06000018","Nottingham","E01032520","Nottingham 028E",225000
"E06000018","Nottingham","E01013953","Nottingham 026F",148000
"E06000018","Nottingham","E01033396","Nottingham 026H",95000
"E06000018","Nottingham","E01013948","Nottingham 026E",NA
"E06000018","Nottingham","E01013957","Nottingham 029E",95000
"E06000018","Nottingham","E01013958","Nottingham 023C",109000
"E06000018","Nottingham","E01013959","Nottingham 021B",82500
"E06000018","Nottingham","E01013960","Nottingham 021C",95000
"E06000018","Nottingham","E01013962","Nottingham 021D",112000
"E06000018","Nottingham","E01013961","Nottingham 023D",125000
"E06000018","Nottingham","E01033411","Nottingham 023I",110500
"E06000018","Nottingham","E01013954","Nottingham 021A",113000
"E06000018","Nottingham","E01033399","Nottingham 023E",165375
"E06000018","Nottingham","E01033409","Nottingham 023H",NA
"E06000018","Nottingham","E01033401","Nottingham 023F",140000
"E06000018","Nottingham","E01013972","Nottingham 015E",168250
"E06000018","Nottingham","E01013965","Nottingham 007C",130000
"E06000018","Nottingham","E01013966","Nottingham 007D",137000
"E06000018","Nottingham","E01013967","Nottingham 007E",165500
"E06000018","Nottingham","E01013969","Nottingham 010C",147000
"E06000018","Nottingham","E01013970","Nottingham 010D",162500
"E06000018","Nottingham","E01013968","Nottingham 010B",205000
"E06000018","Nottingham","E01013971","Nottingham 010E",175000
"E06000018","Nottingham","E01013963","Nottingham 007A",99000
"E06000018","Nottingham","E01013964","Nottingham 007B",204995
"E06000018","Nottingham","E01013976","Nottingham 032D",108000
"E06000018","Nottingham","E01013973","Nottingham 032A",110000
"E06000018","Nottingham","E01013974","Nottingham 032B",185000
"E06000018","Nottingham","E01013975","Nottingham 032C",417500
"E06000018","Nottingham","E01013985","Nottingham 030E",222500
"E06000018","Nottingham","E01013982","Nottingham 030B",342500
"E06000018","Nottingham","E01013977","Nottingham 027A",239500
"E06000018","Nottingham","E01013979","Nottingham 027C",240000
"E06000018","Nottingham","E01013983","Nottingham 030C",177500
"E06000018","Nottingham","E01013984","Nottingham 030D",284950
"E06000018","Nottingham","E01013981","Nottingham 027D",260000
"E06000018","Nottingham","E01013978","Nottingham 027B",225000
"E06000018","Nottingham","E01013980","Nottingham 030A",190000
"E06000018","Nottingham","E01033395","Nottingham 026G",NA
"E06000018","Nottingham","E01033402","Nottingham 039C",132500
"E06000018","Nottingham","E01033403","Nottingham 039D",157500
"E06000018","Nottingham","E01033405","Nottingham 023G",79000
"E06000018","Nottingham","E01033406","Nottingham 039E",143000
"E06000018","Nottingham","E01033407","Nottingham 039F",130000
