"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"W06000006","Wrexham","W01000341","Wrexham 009A",142000
"W06000006","Wrexham","W01000342","Wrexham 009B",117250
"W06000006","Wrexham","W01000343","Wrexham 007A",206000
"W06000006","Wrexham","W01000344","Wrexham 007B",163000
"W06000006","Wrexham","W01000345","Wrexham 018A",225750
"W06000006","Wrexham","W01000346","Wrexham 018B",269500
"W06000006","Wrexham","W01000347","Wrexham 006A",138500
"W06000006","Wrexham","W01000348","Wrexham 006B",102500
"W06000006","Wrexham","W01000350","Wrexham 011B",99995
"W06000006","Wrexham","W01000349","Wrexham 011A",131750
"W06000006","Wrexham","W01000351","Wrexham 005A",148000
"W06000006","Wrexham","W01000353","Wrexham 010B",NA
"W06000006","Wrexham","W01000352","Wrexham 010A",107000
"W06000006","Wrexham","W01000355","Wrexham 017B",110000
"W06000006","Wrexham","W01000354","Wrexham 017A",145000
"W06000006","Wrexham","W01000356","Wrexham 017C",103500
"W06000006","Wrexham","W01001930","Wrexham 019F",151250
"W06000006","Wrexham","W01000360","Wrexham 019D",137000
"W06000006","Wrexham","W01000359","Wrexham 019C",140000
"W06000006","Wrexham","W01000361","Wrexham 019E",163500
"W06000006","Wrexham","W01000364","Wrexham 006E",129000
"W06000006","Wrexham","W01000363","Wrexham 006D",132500
"W06000006","Wrexham","W01000362","Wrexham 006C",101000
"W06000006","Wrexham","W01000365","Wrexham 011C",254995
"W06000006","Wrexham","W01000367","Wrexham 014B",150000
"W06000006","Wrexham","W01000366","Wrexham 014A",115475
"W06000006","Wrexham","W01000368","Wrexham 008A",167000
"W06000006","Wrexham","W01000369","Wrexham 020F",164000
"W06000006","Wrexham","W01000370","Wrexham 020G",189500
"W06000006","Wrexham","W01000372","Wrexham 008C",132500
"W06000006","Wrexham","W01000371","Wrexham 008B",116500
"W06000006","Wrexham","W01000373","Wrexham 005B",1e+05
"W06000006","Wrexham","W01000374","Wrexham 003A",124000
"W06000006","Wrexham","W01000375","Wrexham 003B",161000
"W06000006","Wrexham","W01000376","Wrexham 003C",137000
"W06000006","Wrexham","W01000377","Wrexham 004A",135750
"W06000006","Wrexham","W01000378","Wrexham 004B",117500
"W06000006","Wrexham","W01000380","Wrexham 004D",136000
"W06000006","Wrexham","W01000379","Wrexham 004C",176000
"W06000006","Wrexham","W01000381","Wrexham 012A",89000
"W06000006","Wrexham","W01000382","Wrexham 012B",98000
"W06000006","Wrexham","W01000383","Wrexham 020A",242000
"W06000006","Wrexham","W01000384","Wrexham 020B",252498
"W06000006","Wrexham","W01000385","Wrexham 014C",142950
"W06000006","Wrexham","W01000386","Wrexham 015A",115000
"W06000006","Wrexham","W01000388","Wrexham 008E",226475
"W06000006","Wrexham","W01000387","Wrexham 008D",177000
"W06000006","Wrexham","W01000389","Wrexham 017D",172500
"W06000006","Wrexham","W01000390","Wrexham 020C",211650
"W06000006","Wrexham","W01000392","Wrexham 003E",119250
"W06000006","Wrexham","W01000391","Wrexham 003D",139750
"W06000006","Wrexham","W01000393","Wrexham 009C",162000
"W06000006","Wrexham","W01000394","Wrexham 016A",219500
"W06000006","Wrexham","W01000395","Wrexham 016B",170000
"W06000006","Wrexham","W01000397","Wrexham 020I",290000
"W06000006","Wrexham","W01000396","Wrexham 020H",244000
"W06000006","Wrexham","W01000399","Wrexham 013B",174950
"W06000006","Wrexham","W01000398","Wrexham 013A",170000
"W06000006","Wrexham","W01000400","Wrexham 005C",138000
"W06000006","Wrexham","W01000401","Wrexham 005D",158500
"W06000006","Wrexham","W01000402","Wrexham 011D",109500
"W06000006","Wrexham","W01000403","Wrexham 018C",195000
"W06000006","Wrexham","W01000404","Wrexham 018D",185000
"W06000006","Wrexham","W01000405","Wrexham 015B",112000
"W06000006","Wrexham","W01000406","Wrexham 013C",119000
"W06000006","Wrexham","W01000408","Wrexham 013D",110500
"W06000006","Wrexham","W01000407","Wrexham 016C",153000
"W06000006","Wrexham","W01000409","Wrexham 017E",NA
"W06000006","Wrexham","W01000412","Wrexham 015D",1e+05
"W06000006","Wrexham","W01000410","Wrexham 014D",148000
"W06000006","Wrexham","W01000411","Wrexham 015C",NA
"W06000006","Wrexham","W01000414","Wrexham 010D",88000
"W06000006","Wrexham","W01000413","Wrexham 010C",NA
"W06000006","Wrexham","W01000416","Wrexham 007D",160000
"W06000006","Wrexham","W01000415","Wrexham 007C",150000
"W06000006","Wrexham","W01000417","Wrexham 020D",276225
"W06000006","Wrexham","W01000418","Wrexham 020E",290000
"W06000006","Wrexham","W01000420","Wrexham 016E",135000
"W06000006","Wrexham","W01000419","Wrexham 016D",192500
"W06000006","Wrexham","W01001931","Wrexham 012G",115000
"W06000006","Wrexham","W01001929","Wrexham 012F",90000
"W06000006","Wrexham","W01000422","Wrexham 008F",150000
"W06000006","Wrexham","W01000423","Wrexham 012D",133000
"W06000006","Wrexham","W01000424","Wrexham 012E",120000
"W06000006","Wrexham","W01000425","Wrexham 010E",85000
